,sa,timedifference,sequence no,length
766,18:83:31:9b:75:ad,3207.2996417589998,45014,159
767,18:83:31:9b:75:ad,3207.320485032,45015,159
768,18:83:31:9b:75:ad,3207.5778186979996,45027,159
769,18:83:31:9b:75:ad,3207.643284113,45030,159
770,18:83:31:9b:75:ad,3207.6635881909997,45031,159
771,18:83:31:9b:75:ad,3207.8148994289995,45038,159
772,18:83:31:9b:75:ad,3207.8351153839994,45039,159
774,18:83:31:9b:75:ad,3220.767186792,45074,159
775,18:83:31:9b:75:ad,3220.807540802,45075,159
785,18:83:31:9b:75:ad,3225.090975612,45111,157
786,18:83:31:9b:75:ad,3225.1109791559998,45112,157
787,18:83:31:9b:75:ad,3225.133706961,45113,157
788,18:83:31:9b:75:ad,3225.153707043,45114,157
789,18:83:31:9b:75:ad,3225.3597489229996,45123,157
790,18:83:31:9b:75:ad,3225.379051895,45124,157
793,18:83:31:9b:75:ad,3225.494460992,45129,157
798,18:83:31:9b:75:ad,3225.650592455,45136,157
799,18:83:31:9b:75:ad,3225.7647862209997,45141,157
804,18:83:31:9b:75:ad,3225.784858825,45142,157
867,18:83:31:9b:75:ad,3466.806442321,49120,159
868,18:83:31:9b:75:ad,3467.0637248309995,49132,159
870,18:83:31:9b:75:ad,3480.3981181359995,49158,159
871,18:83:31:9b:75:ad,3480.438311826,49159,159
878,18:83:31:9b:75:ad,3485.056874569,49207,157
879,18:83:31:9b:75:ad,3485.0765000799997,49208,157
880,18:83:31:9b:75:ad,3485.3314820009996,49220,157
881,18:83:31:9b:75:ad,3485.351745075,49221,157
882,18:83:31:9b:75:ad,3485.3947228289994,49223,157
883,18:83:31:9b:75:ad,3485.5091241589994,49228,157
884,18:83:31:9b:75:ad,3485.601335261,49232,157
885,18:83:31:9b:75:ad,3485.665705095,49235,157
