wlan.sa,frame.time_relative,wlan.seq,wlan.ssid,frame.len
0e:d8:36:91:3d:38,965.271983521,373,,94
0e:d8:36:91:3d:38,1028.082230705,376,,94
0e:d8:36:91:3d:38,1028.130359391,378,,94
0e:d8:36:91:3d:38,1028.178670028,380,,94
0e:d8:36:91:3d:38,1028.275803264,384,,94
0e:d8:36:91:3d:38,1091.179979307,391,,94
f8:e6:1a:f1:d6:49,1131.320790699,1252,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1131.322146160,1253,,157
f8:e6:1a:f1:d6:49,1131.341887447,1254,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1131.343164607,1255,,157
f8:e6:1a:f1:d6:49,1131.746880824,1278,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1131.748179223,1279,,157
f8:e6:1a:f1:d6:49,1131.766484253,1280,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1131.767781374,1281,,157
f6:84:ec:62:f1:fb,1154.072668447,396,,94
f6:84:ec:62:f1:fb,1154.121670839,398,,94
f6:84:ec:62:f1:fb,1154.169848098,400,,94
f6:84:ec:62:f1:fb,1154.218114397,402,,94
f6:84:ec:62:f1:fb,1154.268568124,404,,94
f6:84:ec:62:f1:fb,1154.315217855,406,,94
f6:84:ec:62:f1:fb,1217.060975965,408,,94
f6:84:ec:62:f1:fb,1217.085435461,409,,94
f6:84:ec:62:f1:fb,1217.133701850,411,,94
f6:84:ec:62:f1:fb,1217.181899305,413,,94
f6:84:ec:62:f1:fb,1217.230975135,415,,94
80:8c:97:be:72:fc,1222.531804541,4063,,251
f8:e6:1a:f1:d6:49,1230.817841538,1433,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1230.819009131,1434,,157
f8:e6:1a:f1:d6:49,1230.959828586,1444,,157
f8:e6:1a:f1:d6:49,1231.100394851,1453,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1231.101782933,1454,,157
f8:e6:1a:f1:d6:49,1231.120465324,1455,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1231.121758231,1456,,157
f8:e6:1a:f1:d6:49,1231.442738504,1479,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1234.387842166,1555,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1234.389108050,1556,,157
f8:e6:1a:f1:d6:49,1234.407837615,1557,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1234.409107258,1558,,157
f8:e6:1a:f1:d6:49,1235.035860642,1603,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1247.486209482,1691,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1247.671844289,1702,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1247.673137275,1703,,157
f8:e6:1a:f1:d6:49,1247.692473672,1704,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1247.693777679,1705,,157
f8:e6:1a:f1:d6:49,1247.769576067,1709,,157
f8:e6:1a:f1:d6:49,1258.306127623,1824,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1258.521666359,1838,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1258.522971263,1839,,157
f8:e6:1a:f1:d6:49,1258.542291207,1840,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1258.727628042,1858,,157
f8:e6:1a:f1:d6:49,1259.005469247,1877,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1259.006678182,1878,,157
f6:84:ec:62:f1:fb,1280.057485396,419,,94
f6:84:ec:62:f1:fb,1280.081950224,420,,94
f6:84:ec:62:f1:fb,1280.130206776,422,,94
f6:84:ec:62:f1:fb,1280.178484216,424,,94
f6:84:ec:62:f1:fb,1280.227485939,426,,94
f6:84:ec:62:f1:fb,1280.275633469,428,,94
f6:84:ec:62:f1:fb,1343.036392506,429,,94
f6:84:ec:62:f1:fb,1343.061460132,430,,94
f6:84:ec:62:f1:fb,1343.181790423,435,,94
f6:84:ec:62:f1:fb,1343.230771914,437,,94
f6:84:ec:62:f1:fb,1343.278892998,439,,94
f6:84:ec:62:f1:fb,1406.060674386,441,,94
f6:84:ec:62:f1:fb,1406.133392434,444,,94
f6:84:ec:62:f1:fb,1406.181678679,446,,94
f6:84:ec:62:f1:fb,1406.206091041,447,,94
f6:84:ec:62:f1:fb,1406.278823191,450,,94
f8:e6:1a:f1:d6:49,1427.958607310,2155,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1427.959900131,2156,,157
f8:e6:1a:f1:d6:49,1427.978279407,2157,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1427.979559354,2158,,157
f8:e6:1a:f1:d6:49,1428.098333926,2165,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1428.099627499,2166,,157
f8:e6:1a:f1:d6:49,1428.118982464,2167,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1428.120240615,2168,,157
f8:e6:1a:f1:d6:49,1428.360201716,2183,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1428.361628382,2184,,157
f8:e6:1a:f1:d6:49,1428.541934380,2197,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1428.706137647,2209,T wifi zone_secure,175
ba:a5:9e:b2:38:44,1469.040797936,451,,94
ba:a5:9e:b2:38:44,1469.065208058,452,,94
ba:a5:9e:b2:38:44,1469.137862163,455,,94
ba:a5:9e:b2:38:44,1469.186207289,457,,94
ba:a5:9e:b2:38:44,1469.235210426,459,,94
ba:a5:9e:b2:38:44,1532.033263642,462,,94
ba:a5:9e:b2:38:44,1532.057637284,463,,94
ba:a5:9e:b2:38:44,1532.105844723,465,,94
ba:a5:9e:b2:38:44,1532.203062314,469,,94
ba:a5:9e:b2:38:44,1532.227535802,470,,94
ba:a5:9e:b2:38:44,1532.275785473,472,,94
