wlan.sa,frame.time_relative,wlan.seq,wlan.ssid,frame.len
3e:5a:e9:e7:94:5f,380.826590054,448,,94
3e:5a:e9:e7:94:5f,380.850289346,449,,94
3e:5a:e9:e7:94:5f,380.874744740,450,,94
18:83:31:9b:75:ad,382.889320120,66,,157
94:d7:71:fc:67:c9,397.787479846,2325,,166
94:d7:71:fc:67:c9,397.814762643,2326,,166
94:d7:71:fc:67:c9,403.098462755,2394,,166
94:d7:71:fc:67:c9,403.125736165,2395,,166
94:d7:71:fc:67:c9,403.572691979,2412,,166
94:d7:71:fc:67:c9,403.599056359,2413,,166
ac:36:13:5b:00:45,404.351482307,57,,157
ac:36:13:5b:00:45,404.560292915,67,,157
ac:36:13:5b:00:45,404.580612077,68,,157
3c:a0:67:85:86:1b,413.638963877,618,,66
94:d7:71:fc:67:c9,418.100131924,2512,,166
94:d7:71:fc:67:c9,418.576199110,2530,,166
94:d7:71:fc:67:c9,418.603607172,2531,,166
84:2e:27:6b:53:df,426.280167993,21,U+zone,164
84:2e:27:6b:53:df,426.281562204,22,U+zone_5G,167
84:2e:27:6b:53:df,426.283006361,23,5G_U+zone,167
84:2e:27:6b:53:df,426.284877234,24,,158
84:2e:27:6b:53:df,426.301694625,25,U+zone,164
84:2e:27:6b:53:df,426.302967301,26,U+zone_5G,167
84:2e:27:6b:53:df,426.304359442,27,5G_U+zone,167
84:2e:27:6b:53:df,426.305915828,28,,158
84:2e:27:6b:53:df,426.321120273,29,U+zone,164
84:2e:27:6b:53:df,426.322508180,30,U+zone_5G,167
84:2e:27:6b:53:df,426.324085359,31,5G_U+zone,167
84:2e:27:6b:53:df,426.325413438,32,,158
84:2e:27:6b:53:df,426.556608425,73,U+zone,164
84:2e:27:6b:53:df,426.557929983,74,U+zone_5G,167
84:2e:27:6b:53:df,426.559914879,75,5G_U+zone,167
84:2e:27:6b:53:df,426.561289811,76,,158
84:2e:27:6b:53:df,426.576191492,77,U+zone,164
84:2e:27:6b:53:df,426.577584886,78,U+zone_5G,167
84:2e:27:6b:53:df,426.579561944,79,5G_U+zone,167
84:2e:27:6b:53:df,426.581047632,80,,158
84:2e:27:6b:53:df,426.625010839,84,,158
84:2e:27:6b:53:df,426.642622135,91,5G_U+zone,167
84:2e:27:6b:53:df,426.665602141,96,,158
84:2e:27:6b:53:df,426.684667621,98,U+zone_5G,167
84:2e:27:6b:53:df,426.688339660,100,,158
84:2e:27:6b:53:df,426.708045791,103,5G_U+zone,167
84:2e:27:6b:53:df,426.709688407,104,,158
84:2e:27:6b:53:df,434.308768017,154,U+zone,164
84:2e:27:6b:53:df,434.311593766,156,5G_U+zone,167
84:2e:27:6b:53:df,434.319551919,159,U+zone_5G,167
84:2e:27:6b:53:df,434.322301652,161,,158
