,sa,timedifference,sequence no,length
35042,88:36:6c:f9:ca:76,68404.678546848,50389,273
35043,88:36:6c:f9:ca:76,68404.81794705699,50392,273
35044,88:36:6c:f9:ca:76,68405.826038033,50411,273
35045,88:36:6c:f9:ca:76,68405.82828833899,50412,273
35071,88:36:6c:f9:ca:76,68464.819492265,50436,273
35072,88:36:6c:f9:ca:76,68464.821817341,50437,273
35073,88:36:6c:f9:ca:76,68464.96293224099,50439,273
35074,88:36:6c:f9:ca:76,68464.965281749,50440,273
35075,88:36:6c:f9:ca:76,68466.117346683,50462,273
35076,88:36:6c:f9:ca:76,68466.119574888,50463,273
35077,88:36:6c:f9:ca:76,68466.130717839,50464,273
35078,88:36:6c:f9:ca:76,68466.26326487199,50466,273
35079,88:36:6c:f9:ca:76,68466.265854762,50467,273
35080,88:36:6c:f9:ca:76,68466.405803203,50468,273
35081,88:36:6c:f9:ca:76,68466.40806838099,50469,273
35082,88:36:6c:f9:ca:76,68466.414428832,50470,273
35108,88:36:6c:f9:ca:76,68525.25216815299,50490,273
35109,88:36:6c:f9:ca:76,68525.25450663599,50491,273
35110,88:36:6c:f9:ca:76,68526.258021121,50511,273
35111,88:36:6c:f9:ca:76,68526.26031064198,50512,273
35131,88:36:6c:f9:ca:76,68585.396629483,50538,273
35132,88:36:6c:f9:ca:76,68585.39945779,50539,273
35149,88:36:6c:f9:ca:76,68644.54062698499,50562,273
35150,88:36:6c:f9:ca:76,68644.544067708,50563,273
35151,88:36:6c:f9:ca:76,68645.544722126,50582,273
35152,88:36:6c:f9:ca:76,68645.546944095,50583,273
35153,88:36:6c:f9:ca:76,68645.555936782,50584,273
35154,88:36:6c:f9:ca:76,68646.408972365,50601,273
35155,88:36:6c:f9:ca:76,68646.411288818,50602,273
35187,88:36:6c:f9:ca:76,68704.534130562,50604,273
35188,88:36:6c:f9:ca:76,68704.54248390699,50605,273
35189,88:36:6c:f9:ca:76,68704.68301388899,50608,273
35190,88:36:6c:f9:ca:76,68705.688095103,50628,273
35212,88:36:6c:f9:ca:76,68765.975422523,50675,273
35213,88:36:6c:f9:ca:76,68765.977657993,50676,273
35238,88:36:6c:f9:ca:76,68825.115292238,50703,273
35239,88:36:6c:f9:ca:76,68825.11763916,50704,273
35312,88:36:6c:f9:ca:76,68944.683168043,50781,273
