,sa,timedifference,sequence no,length
34724,88:36:6c:f9:ca:76,67804.94930033099,49962,273
34725,88:36:6c:f9:ca:76,67804.951646563,49963,273
34726,88:36:6c:f9:ca:76,67806.09917539699,49986,273
34727,88:36:6c:f9:ca:76,67806.101391356,49987,273
34728,88:36:6c:f9:ca:76,67806.242638182,49989,273
34729,88:36:6c:f9:ca:76,67806.244920317,49990,273
34757,88:36:6c:f9:ca:76,67865.238477012,50013,273
34758,88:36:6c:f9:ca:76,67865.241475946,50014,273
34759,88:36:6c:f9:ca:76,67865.382739795,50015,273
34760,88:36:6c:f9:ca:76,67865.385022145,50016,273
34761,88:36:6c:f9:ca:76,67865.38927236399,50017,273
34762,88:36:6c:f9:ca:76,67866.25099075,50034,273
34763,88:36:6c:f9:ca:76,67866.253336517,50035,273
34800,88:36:6c:f9:ca:76,67925.389245363,50057,273
34801,88:36:6c:f9:ca:76,67925.391476175,50058,273
34802,88:36:6c:f9:ca:76,67925.394870298,50059,273
34835,88:36:6c:f9:ca:76,67984.519929259,50082,273
34836,88:36:6c:f9:ca:76,67984.530679473,50083,273
34837,88:36:6c:f9:ca:76,67986.393754655,50120,273
34838,88:36:6c:f9:ca:76,67986.40181749199,50122,273
34865,88:36:6c:f9:ca:76,68044.52496355699,50125,273
34867,88:36:6c:f9:ca:76,68044.662984078,50126,273
34868,88:36:6c:f9:ca:76,68044.66515721199,50127,273
34869,88:36:6c:f9:ca:76,68044.670384752,50128,273
34870,88:36:6c:f9:ca:76,68045.67187794,50148,273
34871,88:36:6c:f9:ca:76,68045.674267193,50149,273
34902,88:36:6c:f9:ca:76,68105.961050524,50195,273
34903,88:36:6c:f9:ca:76,68105.96578807899,50197,273
34932,88:36:6c:f9:ca:76,68165.10114714199,50224,273
34985,88:36:6c:f9:ca:76,68284.67856961199,50302,273
35012,88:36:6c:f9:ca:76,68346.552689006,50382,273
