,sa,timedifference,sequence no,length
4449,80:2b:f9:f1:5e:e9,7221.759082891001,11274,140
4468,80:2b:f9:f1:5e:e9,7251.804656847,11323,140
4469,80:2b:f9:f1:5e:e9,7251.814825087,11324,140
4499,80:2b:f9:f1:5e:e9,7311.7179177689995,11411,140
4500,80:2b:f9:f1:5e:e9,7311.727345831,11412,140
4528,80:2b:f9:f1:5e:e9,7371.484333230001,11500,140
4529,80:2b:f9:f1:5e:e9,7371.494480068,11501,140
4530,80:2b:f9:f1:5e:e9,7371.718693354,11518,140
4531,80:2b:f9:f1:5e:e9,7371.728858945001,11519,140
4585,80:2b:f9:f1:5e:e9,7461.3838448629995,11647,140
4586,80:2b:f9:f1:5e:e9,7461.406855742,11649,140
4587,80:2b:f9:f1:5e:e9,7461.416354958999,11650,140
4588,80:2b:f9:f1:5e:e9,7461.619033413999,11665,140
4589,80:2b:f9:f1:5e:e9,7461.641359820001,11667,140
4590,80:2b:f9:f1:5e:e9,7461.651504802,11668,140
4597,80:2b:f9:f1:5e:e9,7491.693045833999,11719,140
4617,80:2b:f9:f1:5e:e9,7521.6350380839995,11765,140
4635,80:2b:f9:f1:5e:e9,7551.358841372999,11796,140
4636,80:2b:f9:f1:5e:e9,7551.624351867999,11815,140
4698,80:2b:f9:f1:5e:e9,7641.360825438999,11941,140
4699,80:2b:f9:f1:5e:e9,7641.370967817,11942,140
4703,80:2b:f9:f1:5e:e9,7671.119894844,11972,140
4704,80:2b:f9:f1:5e:e9,7671.129982930001,11973,140
4705,80:2b:f9:f1:5e:e9,7671.307008004,11987,140
4734,80:2b:f9:f1:5e:e9,7761.043624567999,12109,140
