84:2e:27:6b:53:df,1219.349391789,167164,NaN,158
84:2e:27:6b:53:df,1219.4765211,167179,U+zone,158
84:2e:27:6b:53:df,1219.477920779,167180,U+zone_5G,158
84:2e:27:6b:53:df,1219.47942555,167181,5G_U+zone,158
84:2e:27:6b:53:df,1219.498342252,167184,U+zone_5G,158
84:2e:27:6b:53:df,1219.499738863,167185,5G_U+zone,158
84:2e:27:6b:53:df,1219.521788653,167189,5G_U+zone,158
84:2e:27:6b:53:df,1219.650582299,167205,U+zone,158
84:2e:27:6b:53:df,1219.6520765,167206,U+zone_5G,158
84:2e:27:6b:53:df,1219.6534666310001,167207,5G_U+zone,158
84:2e:27:6b:53:df,1219.654767506,167208,NaN,158
84:2e:27:6b:53:df,1219.6701160960001,167209,U+zone,158
84:2e:27:6b:53:df,1219.671514096,167210,U+zone_5G,158
84:2e:27:6b:53:df,1219.672806561,167211,5G_U+zone,158
84:2e:27:6b:53:df,1219.67424556,167212,NaN,158
84:2e:27:6b:53:df,1220.042033529,167251,U+zone,158
84:2e:27:6b:53:df,1220.0434270580001,167252,U+zone_5G,158
84:2e:27:6b:53:df,1220.044856635,167253,5G_U+zone,158
84:2e:27:6b:53:df,1220.046227748,167254,NaN,158
84:2e:27:6b:53:df,1220.062536541,167255,U+zone,158
84:2e:27:6b:53:df,1220.063905348,167256,U+zone_5G,158
84:2e:27:6b:53:df,1220.0653633910001,167257,5G_U+zone,158
84:2e:27:6b:53:df,1220.066691995,167258,NaN,158
