mac :1c:f2:9a:69:bf:0b,delta seq no : [1.4542427],cost : 139.1695
mac :1c:f2:9a:69:bf:0b,delta seq no : [1.5140709],cost : 199.62459
mac :1c:f2:9a:69:bf:0b,delta seq no : [1.2388159],cost : 350.09277
mac :1c:f2:9a:69:bf:0b,delta seq no : [1.3901553],cost : 1254.8748
mac :1c:f2:9a:69:bf:0b,delta seq no : [1.3768276],cost : 119.05727
mac :1c:f2:9a:69:bf:0b,delta seq no : [1.2460419],cost : 689.1459
mac :1c:f2:9a:69:bf:0b,delta seq no : [1.3173969],cost : 1317.8407
mac :1c:f2:9a:69:bf:0b,delta seq no : [1.2288378],cost : 607.1783
mac :2c:33:7a:2b:79:3a,delta seq no : [12.482178],cost : 348.79507
mac :2c:33:7a:2b:79:3a,delta seq no : [12.444549],cost : 384.59332
mac :2c:33:7a:2b:79:3a,delta seq no : [12.4472685],cost : 375.39795
mac :2c:33:7a:2b:79:3a,delta seq no : [12.455227],cost : 410.41556
mac :2c:33:7a:2b:79:3a,delta seq no : [12.428119],cost : 456.03253
mac :2c:33:7a:2b:79:3a,delta seq no : [12.53798],cost : 475.6172
mac :2c:33:7a:2b:79:3a,delta seq no : [12.553268],cost : 602.9531
mac :2c:33:7a:2b:79:3a,delta seq no : [12.457802],cost : 412.339
mac :2c:33:7a:2b:79:3a,delta seq no : [12.440972],cost : 335.73782
mac :2c:33:7a:2b:79:3a,delta seq no : [12.460055],cost : 344.7811
mac :2c:33:7a:2b:79:3a,delta seq no : [12.419798],cost : 461.65216
mac :2c:33:7a:2b:79:3a,delta seq no : [12.419542],cost : 383.84183
mac :2c:33:7a:2b:79:3a,delta seq no : [12.476268],cost : 385.82516
mac :2c:33:7a:2b:79:3a,delta seq no : [12.5429],cost : 436.0327
mac :2c:33:7a:2b:79:3a,delta seq no : [12.428679],cost : 460.91846
mac :2c:33:7a:2b:79:3a,delta seq no : [12.534286],cost : 478.40472
mac :2c:33:7a:2b:79:3a,delta seq no : [12.453893],cost : 312.76648
mac :2c:33:7a:2b:79:3a,delta seq no : [12.442134],cost : 369.242
mac :2c:33:7a:2b:79:3a,delta seq no : [12.440541],cost : 377.70282
mac :2c:33:7a:2b:79:3a,delta seq no : [12.478641],cost : 343.16684
mac :2c:33:7a:2b:79:3a,delta seq no : [12.425717],cost : 427.1419
mac :2c:33:7a:2b:79:3a,delta seq no : [12.450735],cost : 373.2475
mac :2c:33:7a:2b:79:3a,delta seq no : [12.538528],cost : 412.59314
mac :2c:33:7a:2b:79:3a,delta seq no : [12.421174],cost : 426.2827
mac :2c:33:7a:2b:79:3a,delta seq no : [12.4580345],cost : 305.63663
mac :2c:33:7a:2b:79:3a,delta seq no : [12.538457],cost : 549.8475
mac :2c:33:7a:2b:79:3a,delta seq no : [12.410783],cost : 458.44788
mac :2c:33:7a:2b:79:3a,delta seq no : [12.421837],cost : 431.4668
mac :2c:33:7a:2b:79:3a,delta seq no : [12.468496],cost : 321.40256
mac :2c:33:7a:2b:79:3a,delta seq no : [12.4431095],cost : 347.2189
mac :2c:33:7a:2b:79:3a,delta seq no : [12.417662],cost : 474.00446
mac :2c:33:7a:2b:79:3a,delta seq no : [12.445031],cost : 347.30157
mac :2c:33:7a:2b:79:3a,delta seq no : [12.548331],cost : 570.357
mac :2c:33:7a:2b:79:3a,delta seq no : [12.428163],cost : 386.8273
mac :2c:33:7a:2b:79:3a,delta seq no : [12.474013],cost : 329.07437
mac :2c:33:7a:2b:79:3a,delta seq no : [12.544584],cost : 562.81805
mac :2c:33:7a:2b:79:3a,delta seq no : [12.487432],cost : 312.54446
mac :2c:33:7a:2b:79:3a,delta seq no : [12.548754],cost : 520.557
mac :2c:33:7a:2b:79:3a,delta seq no : [12.542676],cost : 595.4948
mac :2c:33:7a:2b:79:3a,delta seq no : [12.417305],cost : 518.9869
mac :2c:33:7a:2b:79:3a,delta seq no : [12.447583],cost : 386.96228
mac :2c:33:7a:2b:79:3a,delta seq no : [12.53969],cost : 495.0632
mac :2c:33:7a:2b:79:3a,delta seq no : [12.486436],cost : 376.5532
mac :2c:33:7a:2b:79:3a,delta seq no : [12.496049],cost : 476.82217
mac :2c:33:7a:2b:79:3a,delta seq no : [12.494648],cost : 389.2543
mac :2c:33:7a:2b:79:3a,delta seq no : [12.525336],cost : 448.852
mac :2c:33:7a:2b:79:3a,delta seq no : [12.5019045],cost : 398.3951
mac :2c:33:7a:2b:79:3a,delta seq no : [12.543609],cost : 508.8318
mac :2c:33:7a:2b:79:3a,delta seq no : [12.424604],cost : 521.961
mac :2c:33:7a:2b:79:3a,delta seq no : [12.486436],cost : 315.32318
mac :2c:33:7a:2b:79:3a,delta seq no : [12.473093],cost : 345.89307
mac :2c:33:7a:2b:79:3a,delta seq no : [12.425889],cost : 473.92142
mac :2c:33:7a:2b:79:3a,delta seq no : [12.549026],cost : 461.59113
mac :2c:33:7a:2b:79:3a,delta seq no : [12.4799595],cost : 253.04956
mac :2c:33:7a:2b:79:3a,delta seq no : [12.419489],cost : 401.60114
mac :2c:33:7a:2b:79:3a,delta seq no : [12.462035],cost : 275.31845
mac :2c:33:7a:2b:79:3a,delta seq no : [12.547988],cost : 539.8041
mac :2c:33:7a:2b:79:3a,delta seq no : [12.56332],cost : 472.04724
mac :2c:33:7a:2b:79:3a,delta seq no : [12.462689],cost : 299.01184
mac :2c:33:7a:2b:79:3a,delta seq no : [12.4384165],cost : 423.1552
mac :2c:33:7a:2b:79:3a,delta seq no : [12.463962],cost : 292.32782
mac :2c:33:7a:2b:79:3a,delta seq no : [12.47256],cost : 319.46625
mac :2c:33:7a:2b:79:3a,delta seq no : [12.559142],cost : 708.03046
mac :2c:33:7a:2b:79:3a,delta seq no : [12.481706],cost : 337.56656
mac :2c:33:7a:2b:79:3a,delta seq no : [12.544576],cost : 482.67444
