,sa,timedifference,sequence no,length
57273,34:08:04:9b:31:79,67816.73874888799,56637,273
57274,34:08:04:9b:31:79,67816.740990414,56638,273
57275,34:08:04:9b:31:79,67817.34572823999,56643,273
57322,34:08:04:9b:31:79,67876.735860002,56691,273
57323,34:08:04:9b:31:79,67877.341118295,56697,273
57324,34:08:04:9b:31:79,67877.355221856,56698,273
57377,34:08:04:9b:31:79,67937.63678321498,56755,273
57378,34:08:04:9b:31:79,67937.63909699899,56756,273
57379,34:08:04:9b:31:79,67937.64135850499,56757,273
57424,34:08:04:9b:31:79,67996.14047104999,56792,273
57429,34:08:04:9b:31:79,67996.588725106,56796,273
57430,34:08:04:9b:31:79,67996.59101885601,56797,273
57470,34:08:04:9b:31:79,68055.987460673,56841,273
57471,34:08:04:9b:31:79,68055.98975482999,56842,273
57472,34:08:04:9b:31:79,68055.992027173,56843,273
57473,34:08:04:9b:31:79,68056.740943397,56851,273
57474,34:08:04:9b:31:79,68056.743187163,56852,273
57475,34:08:04:9b:31:79,68058.387237907,56871,273
57476,34:08:04:9b:31:79,68058.40370966101,56873,273
57523,34:08:04:9b:31:79,68116.138163773,56897,273
57528,34:08:04:9b:31:79,68116.880778892,56904,273
57529,34:08:04:9b:31:79,68116.883088738,56905,273
57530,34:08:04:9b:31:79,68116.886153036,56906,273
57560,34:08:04:9b:31:79,68175.08724851499,56934,273
57561,34:08:04:9b:31:79,68175.08959332,56935,273
57562,34:08:04:9b:31:79,68176.884248788,56958,273
57563,34:08:04:9b:31:79,68176.88651669498,56959,273
57564,34:08:04:9b:31:79,68176.912973432,56960,273
57565,34:08:04:9b:31:79,68177.491436457,56964,273
57592,34:08:04:9b:31:79,68235.23301207999,56988,273
57593,34:08:04:9b:31:79,68235.23531409999,56989,273
57594,34:08:04:9b:31:79,68235.252668184,56990,273
57595,34:08:04:9b:31:79,68237.342176302,57012,273
57596,34:08:04:9b:31:79,68237.349144425,57014,273
57597,34:08:04:9b:31:79,68238.23492678601,57024,273
57598,34:08:04:9b:31:79,68238.245252533,57026,273
57630,34:08:04:9b:31:79,68295.837123622,57044,273
57631,34:08:04:9b:31:79,68295.839453316,57045,273
57632,34:08:04:9b:31:79,68295.841726723,57046,273
57638,34:08:04:9b:31:79,68298.082284608,57071,273
57673,34:08:04:9b:31:79,68355.838798917,57092,273
