,wlan.sa,wlan.ssid,ts_relative,frame.time_relative,wlan.ds.current_channel,wlan_radio.signal_dbm,wlan_radio.duration
8041,88:36:6c:67:72:ec,carlynne,2361.344,2361.373509958,1,-23,2256
8042,88:36:6c:67:72:ec,carlynne,2361.4464,2361.475919432,1,-65,2256
8043,88:36:6c:67:72:ec,carlynne,2361.5488,2361.578314382,1,-63,2256
8044,88:36:6c:67:72:ec,carlynne,2362.5728,2362.602314033,1,-45,2256
8045,88:36:6c:67:72:ec,carlynne,2363.2896,2363.319012694,1,-67,2256
8046,88:36:6c:67:72:ec,carlynne,2363.392,2363.421541419,1,-67,2256
8047,88:36:6c:67:72:ec,carlynne,2363.4944,2363.5238359120003,1,-65,2256
8048,88:36:6c:67:72:ec,carlynne,2363.5968,2363.626340842,1,-21,2256
8049,88:36:6c:67:72:ec,carlynne,2363.6992,2363.7287419560002,1,-21,2256
8050,88:36:6c:67:72:ec,carlynne,2363.904,2363.9335218270003,1,-57,2256
8051,88:36:6c:67:72:ec,carlynne,2364.6208,2364.6502320520003,1,-65,2256
8052,88:36:6c:67:72:ec,carlynne,2365.2352,2365.264765168,1,-65,2256
8053,88:36:6c:67:72:ec,carlynne,2365.7472,2365.776764362,1,-29,2256
8054,88:36:6c:67:72:ec,carlynne,2366.259265,2366.288819971,1,-43,2256
8055,88:36:6c:67:72:ec,carlynne,2366.3616,2366.391089928,1,-43,2256
8056,88:36:6c:67:72:ec,carlynne,2367.0784,2367.107964886,1,-67,2256
8057,88:36:6c:67:72:ec,carlynne,2367.1808,2367.210257485,1,-65,2256
8058,88:36:6c:67:72:ec,carlynne,2367.2832,2367.31280815,1,-19,2256
8059,88:36:6c:67:72:ec,carlynne,2367.3856,2367.415161941,1,-21,2256
8060,88:36:6c:67:72:ec,carlynne,2367.488,2367.5175704529997,1,-19,2256
8061,88:36:6c:67:72:ec,carlynne,2367.6928,2367.722386053,1,-57,2256
8062,88:36:6c:67:72:ec,carlynne,2368.1024,2368.131991399,1,-19,2256
8063,88:36:6c:67:72:ec,carlynne,2368.2048,2368.234310073,1,-19,2256
8064,88:36:6c:67:72:ec,carlynne,2368.6144,2368.64399161,1,-23,2256
8065,88:36:6c:67:72:ec,carlynne,2369.02401,2369.0536184860002,1,-67,2256
8066,88:36:6c:67:72:ec,carlynne,2369.9456,2369.97520736,1,-45,2256
8067,88:36:6c:67:72:ec,carlynne,2370.048,2370.077613586,1,-45,2256
8068,88:36:6c:67:72:ec,carlynne,2370.2528,2370.2824192939997,1,-63,2256
8069,88:36:6c:67:72:ec,carlynne,2370.8672,2370.8968119,1,-67,2256
8070,88:36:6c:67:72:ec,carlynne,2370.9696,2370.999104339,1,-19,2256
8071,88:36:6c:67:72:ec,carlynne,2371.072,2371.101611007,1,-21,2256
8072,88:36:6c:67:72:ec,carlynne,2371.1744,2371.204016667,1,-21,2256
8073,88:36:6c:67:72:ec,carlynne,2371.2768,2371.3064204879997,1,-57,2256
8074,88:36:6c:67:72:ec,carlynne,2371.3792,2371.408712757,1,-57,2256
8075,88:36:6c:67:72:ec,carlynne,2371.4816,2371.511209091,1,-55,2256
8076,88:36:6c:67:72:ec,carlynne,2371.7888,2371.818374379,1,-19,2256
8077,88:36:6c:67:72:ec,carlynne,2371.8912,2371.9208224960003,1,-21,2256
8078,88:36:6c:67:72:ec,carlynne,2372.096,2372.12563759,1,-65,2256
8079,88:36:6c:67:72:ec,carlynne,2372.1984,2372.227942608,1,-63,2256
8080,88:36:6c:67:72:ec,carlynne,2372.5056,2372.535133769,1,-23,2256
8081,88:36:6c:67:72:ec,carlynne,2372.608,2372.63764154,1,-65,2256
8082,88:36:6c:67:72:ec,carlynne,2372.7104,2372.739970995,1,-65,2256
8083,88:36:6c:67:72:ec,carlynne,2372.8128,2372.842344405,1,-63,2256
8084,88:36:6c:67:72:ec,carlynne,2372.9152,2372.944736795,1,-65,2256
8085,88:36:6c:67:72:ec,carlynne,2373.0176,2373.0471344820003,1,-65,2256
8086,88:36:6c:67:72:ec,carlynne,2373.632,2373.661638771,1,-43,2256
8087,88:36:6c:67:72:ec,carlynne,2373.7344,2373.7640474729997,1,-43,2256
8088,88:36:6c:67:72:ec,carlynne,2373.8368,2373.866366658,1,-45,2256
8089,88:36:6c:67:72:ec,carlynne,2374.4512,2374.480872125,1,-69,2256
8090,88:36:6c:67:72:ec,carlynne,2374.5536,2374.58315861,1,-69,2256
8091,88:36:6c:67:72:ec,carlynne,2374.656,2374.685550448,1,-23,2256
8092,88:36:6c:67:72:ec,carlynne,2374.7584,2374.78807377,1,-21,2256
8093,88:36:6c:67:72:ec,carlynne,2374.8608,2374.890468871,1,-21,2256
8094,88:36:6c:67:72:ec,carlynne,2375.4752,2375.504863487,1,-23,2256
8095,88:36:6c:67:72:ec,carlynne,2375.7824,2375.8119961079997,1,-65,2256
8096,88:36:6c:67:72:ec,carlynne,2375.8848,2375.914366441,1,-65,2256
8097,88:36:6c:67:72:ec,carlynne,2376.4992,2376.528814405,1,-67,2256
8098,88:36:6c:67:72:ec,carlynne,2376.6016,2376.631299013,1,-65,2256
8099,88:36:6c:67:72:ec,carlynne,2376.704,2376.7336185589998,1,-65,2256
8100,88:36:6c:67:72:ec,carlynne,2377.3184,2377.347979091,1,-47,2256
8101,88:36:6c:67:72:ec,carlynne,2377.4208,2377.45038132,1,-45,2256
8102,88:36:6c:67:72:ec,carlynne,2377.728,2377.757620144,1,-65,2256
8103,88:36:6c:67:72:ec,carlynne,2378.1376,2378.16722306,1,-69,2256
8104,88:36:6c:67:72:ec,carlynne,2378.24,2378.269592702,1,-71,2256
8105,88:36:6c:67:72:ec,carlynne,2378.3424,2378.372018955,1,-67,2256
8106,88:36:6c:67:72:ec,carlynne,2378.4448,2378.474516773,1,-21,2256
8107,88:36:6c:67:72:ec,carlynne,2378.5472,2378.57681727,1,-21,2256
8108,88:36:6c:67:72:ec,carlynne,2379.1616,2379.191199231,1,-23,2256
8109,88:36:6c:67:72:ec,carlynne,2379.264,2379.293725691,1,-23,2256
8110,88:36:6c:67:72:ec,carlynne,2379.980839,2380.010511516,1,-69,2256
8111,88:36:6c:67:72:ec,carlynne,2380.083316,2380.112973017,1,-69,2256
8112,88:36:6c:67:72:ec,carlynne,2380.185762,2380.215439538,1,-71,2256
8113,88:36:6c:67:72:ec,carlynne,2380.390526,2380.420266385,1,-65,2256
8114,88:36:6c:67:72:ec,carlynne,2380.9024,2380.932142675,1,-69,2256
8115,88:36:6c:67:72:ec,carlynne,2381.1072,2381.136948292,1,-47,2256
8116,88:36:6c:67:72:ec,carlynne,2381.2096,2381.2392393679997,1,-49,2256
8117,88:36:6c:67:72:ec,carlynne,2381.824,2381.853744644,1,-69,2256
8118,88:36:6c:67:72:ec,carlynne,2381.926457,2381.9561994279998,1,-69,2256
8119,88:36:6c:67:72:ec,carlynne,2382.0288,2382.0584432289997,1,-69,2256
8120,88:36:6c:67:72:ec,carlynne,2382.1312,2382.160953285,1,-23,2256
8121,88:36:6c:67:72:ec,carlynne,2382.2336,2382.263319966,1,-21,2256
8122,88:36:6c:67:72:ec,carlynne,2383.6672,2383.6968648839998,1,-67,2256
8123,88:36:6c:67:72:ec,carlynne,2383.7696,2383.799293121,1,-69,2256
8124,88:36:6c:67:72:ec,carlynne,2384.7936,2384.8233576079997,1,-45,2256
8125,88:36:6c:67:72:ec,carlynne,2384.896,2384.925696107,1,-47,2256
8126,88:36:6c:67:72:ec,carlynne,2385.2032,2385.232922239,1,-67,2256
8127,88:36:6c:67:72:ec,carlynne,2385.5104,2385.540089705,1,-71,2256
8128,88:36:6c:67:72:ec,carlynne,2385.6128,2385.64254089,1,-69,2256
8129,88:36:6c:67:72:ec,carlynne,2385.8176,2385.847385969,1,-23,2256
8130,88:36:6c:67:72:ec,carlynne,2385.92,2385.949802469,1,-23,2256
8131,88:36:6c:67:72:ec,carlynne,2386.0224,2386.0521943179997,1,-21,2256
8132,88:36:6c:67:72:ec,carlynne,2386.1248,2386.154592635,1,-61,2256
8133,88:36:6c:67:72:ec,carlynne,2387.0464,2387.076096729,1,-65,2256
8134,88:36:6c:67:72:ec,carlynne,2387.2512,2387.281021782,1,-25,2256
8135,88:36:6c:67:72:ec,carlynne,2387.5584,2387.588224385,1,-69,2256
8136,88:36:6c:67:72:ec,carlynne,2387.6608,2387.6906222820003,1,-65,2256
8137,88:36:6c:67:72:ec,carlynne,2387.8656,2387.8953211579997,1,-65,2256
8138,88:36:6c:67:72:ec,carlynne,2388.1728,2388.202619366,1,-67,2256
8139,88:36:6c:67:72:ec,carlynne,2388.48,2388.509827411,1,-47,2256
8140,88:36:6c:67:72:ec,carlynne,2388.5824,2388.612147559,1,-47,2256
8141,88:36:6c:67:72:ec,carlynne,2389.2992,2389.329058831,1,-69,2256
8142,88:36:6c:67:72:ec,carlynne,2389.4016,2389.431353309,1,-69,2256
8143,88:36:6c:67:72:ec,carlynne,2389.504,2389.533832314,1,-23,2256
8144,88:36:6c:67:72:ec,carlynne,2389.6064,2389.636249215,1,-21,2256
8145,88:36:6c:67:72:ec,carlynne,2389.7088,2389.7386521539997,1,-21,2256
8146,88:36:6c:67:72:ec,carlynne,2390.528,2390.557887358,1,-23,2256
8147,88:36:6c:67:72:ec,carlynne,2390.7328,2390.762651304,1,-67,2256
8148,88:36:6c:67:72:ec,carlynne,2390.9376,2390.967454395,1,-25,2256
8149,88:36:6c:67:72:ec,carlynne,2391.3472,2391.376949918,1,-67,2256
8150,88:36:6c:67:72:ec,carlynne,2391.552,2391.581770029,1,-65,2256
