,wlan.sa,wlan.ssid,ts_relative,frame.time_relative,wlan.ds.current_channel,wlan_radio.signal_dbm,wlan_radio.duration
11773,88:36:6c:67:72:ec,carlynne,3420.5696,3420.6116976209996,1,-69,2256
11774,88:36:6c:67:72:ec,carlynne,3420.672,3420.714134548,1,-71,2256
11775,88:36:6c:67:72:ec,carlynne,3420.7744,3420.8164678370003,1,-23,2256
11776,88:36:6c:67:72:ec,carlynne,3420.8768,3420.919008704,1,-25,2256
11777,88:36:6c:67:72:ec,carlynne,3420.9792,3421.0213955709996,1,-25,2256
11778,88:36:6c:67:72:ec,carlynne,3421.5936,3421.6358029109997,1,-25,2256
11779,88:36:6c:67:72:ec,carlynne,3421.7984,3421.840501125,1,-25,2256
11780,88:36:6c:67:72:ec,carlynne,3422.0032,3422.0452988690004,1,-69,2256
11781,88:36:6c:67:72:ec,carlynne,3422.72,3422.7622151729997,1,-67,2256
11782,88:36:6c:67:72:ec,carlynne,3423.1296,3423.171840736,1,-33,2256
11783,88:36:6c:67:72:ec,carlynne,3423.232,3423.2741210520003,1,-69,2256
11784,88:36:6c:67:72:ec,carlynne,3423.4368,3423.479026374,1,-47,2256
11785,88:36:6c:67:72:ec,carlynne,3423.744,3423.786240388,1,-69,2256
11786,88:36:6c:67:72:ec,carlynne,3424.256,3424.298137496,1,-71,2256
11787,88:36:6c:67:72:ec,carlynne,3424.3584,3424.400547147,1,-71,2256
11788,88:36:6c:67:72:ec,carlynne,3424.4608,3424.502958815,1,-71,2256
11789,88:36:6c:67:72:ec,carlynne,3424.5632,3424.605425972,1,-25,2256
11790,88:36:6c:67:72:ec,carlynne,3424.6656,3424.707757942,1,-25,2256
11791,88:36:6c:67:72:ec,carlynne,3425.3824,3425.4245636809997,1,-25,2256
11792,88:36:6c:67:72:ec,carlynne,3425.4848,3425.527060542,1,-25,2256
11793,88:36:6c:67:72:ec,carlynne,3425.6896,3425.731860811,1,-67,2256
11794,88:36:6c:67:72:ec,carlynne,3426.4064,3426.448657253,1,-67,2256
11795,88:36:6c:67:72:ec,carlynne,3426.5088,3426.550975958,1,-67,2256
11796,88:36:6c:67:72:ec,carlynne,3426.816,3426.8582590959995,1,-33,2256
11797,88:36:6c:67:72:ec,carlynne,3427.2256,3427.267865946,1,-47,2256
11798,88:36:6c:67:72:ec,carlynne,3427.328,3427.370286385,1,-47,2256
11799,88:36:6c:67:72:ec,carlynne,3427.9424,3427.9845619209996,1,-69,2256
11800,88:36:6c:67:72:ec,carlynne,3428.0448,3428.0870940279997,1,-69,2256
11801,88:36:6c:67:72:ec,carlynne,3428.1472,3428.189487435,1,-71,2256
11802,88:36:6c:67:72:ec,carlynne,3428.2496,3428.291881774,1,-25,2256
11803,88:36:6c:67:72:ec,carlynne,3428.352,3428.3942849440004,1,-23,2256
11804,88:36:6c:67:72:ec,carlynne,3428.4544,3428.496617856,1,-63,2256
11805,88:36:6c:67:72:ec,carlynne,3429.2736,3429.3159130629997,1,-71,2256
11806,88:36:6c:67:72:ec,carlynne,3430.0928,3430.135117175,1,-67,2256
11807,88:36:6c:67:72:ec,carlynne,3430.1952,3430.237478037,1,-69,2256
11808,88:36:6c:67:72:ec,carlynne,3430.6048,3430.647117477,1,-69,2256
11809,88:36:6c:67:72:ec,carlynne,3430.8096,3430.851829618,1,-69,2256
11810,88:36:6c:67:72:ec,carlynne,3431.0144,3431.0567021190004,1,-49,2256
11811,88:36:6c:67:72:ec,carlynne,3431.6288,3431.671002518,1,-71,2256
11812,88:36:6c:67:72:ec,carlynne,3431.7312,3431.77345904,1,-69,2256
11813,88:36:6c:67:72:ec,carlynne,3431.833694,3431.876013098,1,-73,2256
11814,88:36:6c:67:72:ec,carlynne,3431.936,3431.978345074,1,-25,2256
11815,88:36:6c:67:72:ec,carlynne,3432.0384,3432.0807398240004,1,-23,2256
11816,88:36:6c:67:72:ec,carlynne,3432.1408,3432.1831378159995,1,-25,2256
11817,88:36:6c:67:72:ec,carlynne,3432.96,3433.002247274,1,-67,2256
11818,88:36:6c:67:72:ec,carlynne,3433.0624,3433.1046638,1,-65,2256
11819,88:36:6c:67:72:ec,carlynne,3433.1648,3433.207059667,1,-67,2256
11820,88:36:6c:67:72:ec,carlynne,3433.7792,3433.821559598,1,-67,2256
11821,88:36:6c:67:72:ec,carlynne,3433.8816,3433.923861737,1,-67,2256
11822,88:36:6c:67:72:ec,carlynne,3433.984161,3434.026406935,1,-69,2256
11823,88:36:6c:67:72:ec,carlynne,3434.2912,3434.333452309,1,-69,2256
11824,88:36:6c:67:72:ec,carlynne,3434.3936,3434.4358632470003,1,-69,2256
11825,88:36:6c:67:72:ec,carlynne,3434.496,3434.538259239,1,-69,2256
11826,88:36:6c:67:72:ec,carlynne,3434.7008,3434.74316149,1,-47,2256
11827,88:36:6c:67:72:ec,carlynne,3434.8032,3434.84544354,1,-67,2256
11828,88:36:6c:67:72:ec,carlynne,3435.4176,3435.459967203,1,-69,2256
11829,88:36:6c:67:72:ec,carlynne,3435.52,3435.562258685,1,-71,2256
11830,88:36:6c:67:72:ec,carlynne,3435.6224,3435.664761755,1,-23,2256
11831,88:36:6c:67:72:ec,carlynne,3435.7248,3435.7671856429997,1,-23,2256
11832,88:36:6c:67:72:ec,carlynne,3435.8272,3435.869593568,1,-23,2256
11833,88:36:6c:67:72:ec,carlynne,3436.032019,3436.074392615,1,-59,2256
11834,88:36:6c:67:72:ec,carlynne,3437.2608,3437.303190145,1,-67,2256
11835,88:36:6c:67:72:ec,carlynne,3437.3632,3437.405517685,1,-69,2256
11836,88:36:6c:67:72:ec,carlynne,3437.4656,3437.507871957,1,-65,2256
11837,88:36:6c:67:72:ec,carlynne,3437.568,3437.61038935,1,-65,2256
11838,88:36:6c:67:72:ec,carlynne,3438.2848,3438.3272188329997,1,-45,2256
11839,88:36:6c:67:72:ec,carlynne,3438.3872,3438.429617192,1,-47,2256
11840,88:36:6c:67:72:ec,carlynne,3439.104,3439.146417207,1,-69,2256
11841,88:36:6c:67:72:ec,carlynne,3439.2064,3439.24870708,1,-69,2256
11842,88:36:6c:67:72:ec,carlynne,3439.308846,3439.3511886859997,1,-69,2256
11843,88:36:6c:67:72:ec,carlynne,3439.411246,3439.45360936,1,-23,2256
11844,88:36:6c:67:72:ec,carlynne,3439.5136,3439.5560204129997,1,-23,2256
11845,88:36:6c:67:72:ec,carlynne,3440.128,3440.17043715,1,-23,2256
11846,88:36:6c:67:72:ec,carlynne,3440.4352,3440.477641301,1,-65,2256
11847,88:36:6c:67:72:ec,carlynne,3440.5376,3440.5799345409996,1,-65,2256
11848,88:36:6c:67:72:ec,carlynne,3441.2544,3441.296845298,1,-65,2256
11849,88:36:6c:67:72:ec,carlynne,3441.3568,3441.3991376609997,1,-65,2256
11850,88:36:6c:67:72:ec,carlynne,3441.9712,3442.0135199429997,1,-45,2256
11851,88:36:6c:67:72:ec,carlynne,3442.0736,3442.115963997,1,-47,2256
11852,88:36:6c:67:72:ec,carlynne,3442.176,3442.218393272,1,-47,2256
11853,88:36:6c:67:72:ec,carlynne,3442.7904,3442.8328704329997,1,-69,2256
11854,88:36:6c:67:72:ec,carlynne,3442.8928,3442.935159193,1,-71,2256
11855,88:36:6c:67:72:ec,carlynne,3442.9952,3443.037562092,1,-69,2256
11856,88:36:6c:67:72:ec,carlynne,3443.0976,3443.140069207,1,-23,2256
11857,88:36:6c:67:72:ec,carlynne,3443.2,3443.242367003,1,-23,2256
11858,88:36:6c:67:72:ec,carlynne,3443.4048,3443.447196375,1,-61,2256
11859,88:36:6c:67:72:ec,carlynne,3444.1216,3444.16406785,1,-63,2256
11860,88:36:6c:67:72:ec,carlynne,3444.224,3444.2663646290002,1,-65,2256
11861,88:36:6c:67:72:ec,carlynne,3444.4288,3444.471271866,1,-25,2256
11862,88:36:6c:67:72:ec,carlynne,3444.633603,3444.6760972290003,1,-69,2256
11863,88:36:6c:67:72:ec,carlynne,3444.9408,3444.98329267,1,-63,2256
11864,88:36:6c:67:72:ec,carlynne,3445.0432,3445.0855861809996,1,-65,2256
11865,88:36:6c:67:72:ec,carlynne,3445.8624,3445.90490162,1,-47,2256
11866,88:36:6c:67:72:ec,carlynne,3445.9648,3446.007292065,1,-67,2256
11867,88:36:6c:67:72:ec,carlynne,3446.0672,3446.10969527,1,-67,2256
11868,88:36:6c:67:72:ec,carlynne,3446.4768,3446.519182363,1,-69,2256
11869,88:36:6c:67:72:ec,carlynne,3446.5792,3446.621732692,1,-67,2256
11870,88:36:6c:67:72:ec,carlynne,3446.6816,3446.7240988259996,1,-69,2256
11871,88:36:6c:67:72:ec,carlynne,3446.784,3446.826497119,1,-23,2256
11872,88:36:6c:67:72:ec,carlynne,3446.8864,3446.92892225,1,-23,2256
11873,88:36:6c:67:72:ec,carlynne,3447.1936,3447.236048957,1,-61,2256
