,wlan.sa,wlan.ssid,ts_relative,frame.time_relative,wlan.ds.current_channel,wlan_radio.signal_dbm,wlan_radio.duration
10512,88:36:6c:67:72:ec,carlynne,3060.736,3060.773867487,1,-73,2256
10513,88:36:6c:67:72:ec,carlynne,3060.838404,3060.876256406,1,-73,2256
10514,88:36:6c:67:72:ec,carlynne,3060.9408,3060.978673932,1,-71,2256
10515,88:36:6c:67:72:ec,carlynne,3061.0432,3061.081071984,1,-25,2256
10516,88:36:6c:67:72:ec,carlynne,3061.1456,3061.1834731040003,1,-25,2256
10517,88:36:6c:67:72:ec,carlynne,3061.76,3061.7977894190003,1,-25,2256
10518,88:36:6c:67:72:ec,carlynne,3061.8624,3061.9001917359997,1,-25,2256
10519,88:36:6c:67:72:ec,carlynne,3061.9648,3062.0026071640004,1,-27,2256
10520,88:36:6c:67:72:ec,carlynne,3062.272,3062.309904947,1,-67,2256
10521,88:36:6c:67:72:ec,carlynne,3062.8864,3062.92429391,1,-67,2256
10522,88:36:6c:67:72:ec,carlynne,3062.9888,3063.026694082,1,-65,2256
10523,88:36:6c:67:72:ec,carlynne,3063.5008,3063.538694283,1,-69,2256
10524,88:36:6c:67:72:ec,carlynne,3063.7056,3063.743519791,1,-47,2256
10525,88:36:6c:67:72:ec,carlynne,3063.808,3063.8458089170003,1,-47,2256
10526,88:36:6c:67:72:ec,carlynne,3064.4224,3064.460312399,1,-71,2256
10527,88:36:6c:67:72:ec,carlynne,3064.5248,3064.56272026,1,-69,2256
10528,88:36:6c:67:72:ec,carlynne,3064.6272,3064.665121374,1,-71,2256
10529,88:36:6c:67:72:ec,carlynne,3064.7296,3064.7675198829997,1,-25,2256
10530,88:36:6c:67:72:ec,carlynne,3064.832,3064.8699248370003,1,-25,2256
10531,88:36:6c:67:72:ec,carlynne,3065.7536,3065.791515871,1,-67,2256
10532,88:36:6c:67:72:ec,carlynne,3065.856,3065.893837652,1,-67,2256
10533,88:36:6c:67:72:ec,carlynne,3065.9584,3065.996323182,1,-69,2256
10534,88:36:6c:67:72:ec,carlynne,3066.0608,3066.098749094,1,-29,2256
10535,88:36:6c:67:72:ec,carlynne,3066.5728,3066.610756542,1,-67,2256
10536,88:36:6c:67:72:ec,carlynne,3066.6752,3066.71315279,1,-65,2256
10537,88:36:6c:67:72:ec,carlynne,3066.7776,3066.8154722259997,1,-67,2256
10538,88:36:6c:67:72:ec,carlynne,3067.0848,3067.122750424,1,-69,2256
10539,88:36:6c:67:72:ec,carlynne,3067.1872,3067.2250476940003,1,-69,2256
10540,88:36:6c:67:72:ec,carlynne,3067.2896,3067.327541833,1,-69,2256
10541,88:36:6c:67:72:ec,carlynne,3067.392,3067.429954705,1,-47,2256
10542,88:36:6c:67:72:ec,carlynne,3068.1088,3068.146779227,1,-55,2256
10543,88:36:6c:67:72:ec,carlynne,3068.2112,3068.2491542459998,1,-69,2256
10544,88:36:6c:67:72:ec,carlynne,3068.3136,3068.3515414790004,1,-73,2256
