,sa,timedifference,sequence no,length
38827,2c:33:7a:2b:79:3a,75903.37385949,946432,97
38830,2c:33:7a:2b:79:3a,75908.732360737,946455,97
38831,2c:33:7a:2b:79:3a,75908.73356632201,946456,97
38832,2c:33:7a:2b:79:3a,75908.73463069,946457,97
38833,2c:33:7a:2b:79:3a,75908.735542473,946458,97
38834,2c:33:7a:2b:79:3a,75909.436598776,946493,97
38835,2c:33:7a:2b:79:3a,75909.437539417,946494,97
38838,2c:33:7a:2b:79:3a,75914.91171634001,946523,97
38839,2c:33:7a:2b:79:3a,75914.91293601501,946524,97
38840,2c:33:7a:2b:79:3a,75914.91392303,946525,97
38841,2c:33:7a:2b:79:3a,75914.915663333,946526,97
38849,2c:33:7a:2b:79:3a,75921.794181426,946628,97
38850,2c:33:7a:2b:79:3a,75922.72857262401,946676,97
38851,2c:33:7a:2b:79:3a,75922.73058241901,946678,97
38860,2c:33:7a:2b:79:3a,75928.911370338,946744,97
38861,2c:33:7a:2b:79:3a,75928.915515739,946746,97
38862,2c:33:7a:2b:79:3a,75929.02496079,946749,97
38865,2c:33:7a:2b:79:3a,75934.270096951,946769,97
38866,2c:33:7a:2b:79:3a,75934.274072667,946771,97
38867,2c:33:7a:2b:79:3a,75934.275001103,946772,97
38873,2c:33:7a:2b:79:3a,75947.585758823,946953,97
38874,2c:33:7a:2b:79:3a,75947.58694992,946954,97
38875,2c:33:7a:2b:79:3a,75947.587883676,946955,97
38876,2c:33:7a:2b:79:3a,75947.58877331301,946956,97
38879,2c:33:7a:2b:79:3a,75954.44834141301,947057,97
38880,2c:33:7a:2b:79:3a,75954.45052425201,947059,97
38881,2c:33:7a:2b:79:3a,75954.45152388701,947060,97
38885,2c:33:7a:2b:79:3a,75960.51838779401,947121,97
38887,2c:33:7a:2b:79:3a,75966.92921902401,947200,97
38888,2c:33:7a:2b:79:3a,75966.935318541,947202,97
38889,2c:33:7a:2b:79:3a,75973.10647357,947267,97
38890,2c:33:7a:2b:79:3a,75973.928563587,947310,97
38891,2c:33:7a:2b:79:3a,75973.92948432,947311,97
38892,2c:33:7a:2b:79:3a,75973.930442088,947312,97
38895,2c:33:7a:2b:79:3a,75979.28777513001,947337,97
38902,2c:33:7a:2b:79:3a,75986.289228698,947445,97
38903,2c:33:7a:2b:79:3a,75986.290397927,947446,97
38904,2c:33:7a:2b:79:3a,75986.291375855,947447,97
38905,2c:33:7a:2b:79:3a,75986.292354542,947448,97
38908,2c:33:7a:2b:79:3a,75993.280531782,947555,97
38909,2c:33:7a:2b:79:3a,75998.644364651,947581,97
38910,2c:33:7a:2b:79:3a,75998.64550312901,947582,97
38911,2c:33:7a:2b:79:3a,75998.646565535,947583,97
38912,2c:33:7a:2b:79:3a,75998.647543194,947584,97
38913,2c:33:7a:2b:79:3a,75999.34667304001,947618,97
38914,2c:33:7a:2b:79:3a,75999.46842523,947623,97
38915,2c:33:7a:2b:79:3a,75999.47068134001,947625,97
38918,2c:33:7a:2b:79:3a,76005.649232341,947692,97
38919,2c:33:7a:2b:79:3a,76005.650108457,947693,97
38920,2c:33:7a:2b:79:3a,76005.651001777,947694,97
38925,2c:33:7a:2b:79:3a,76030.48812512301,947971,97
38926,2c:33:7a:2b:79:3a,76030.48912412701,947972,97
38927,2c:33:7a:2b:79:3a,76037.478374896,948080,97
38928,2c:33:7a:2b:79:3a,76037.59657094201,948085,97
38929,2c:33:7a:2b:79:3a,76037.59774733901,948086,97
38930,2c:33:7a:2b:79:3a,76037.599621668,948088,97
38933,2c:33:7a:2b:79:3a,76044.47704235201,948187,1548
38934,2c:33:7a:2b:79:3a,76044.48134281201,948190,97
38935,2c:33:7a:2b:79:3a,76044.48239222,948191,97
38936,2c:33:7a:2b:79:3a,76044.48331073901,948192,97
38951,2c:33:7a:2b:79:3a,76050.65731772201,948257,97
38952,2c:33:7a:2b:79:3a,76050.662817339,948259,97
38953,2c:33:7a:2b:79:3a,76050.663916776,948260,97
38956,2c:33:7a:2b:79:3a,76056.72140767901,948320,97
38957,2c:33:7a:2b:79:3a,76056.844858009,948326,97
38958,2c:33:7a:2b:79:3a,76056.84580484401,948327,97
38959,2c:33:7a:2b:79:3a,76056.846832947,948328,97
38965,2c:33:7a:2b:79:3a,76063.717216421,948429,97
38966,2c:33:7a:2b:79:3a,76063.834109721,948435,97
38967,2c:33:7a:2b:79:3a,76063.835290589,948436,97
38968,2c:33:7a:2b:79:3a,76063.836350183,948437,97
38969,2c:33:7a:2b:79:3a,76076.19922077401,948574,97
38972,2c:33:7a:2b:79:3a,76081.673561623,948603,97
38973,2c:33:7a:2b:79:3a,76081.67576823001,948605,97
38974,2c:33:7a:2b:79:3a,76081.676730819,948606,97
38977,2c:33:7a:2b:79:3a,76088.672136306,948713,97
38978,2c:33:7a:2b:79:3a,76095.671300532,948824,97
38979,2c:33:7a:2b:79:3a,76095.67229275902,948825,97
38980,2c:33:7a:2b:79:3a,76101.032760816,948849,97
38981,2c:33:7a:2b:79:3a,76101.034968562,948851,97
38982,2c:33:7a:2b:79:3a,76101.03671680401,948852,97
38983,2c:33:7a:2b:79:3a,76101.15182158501,948857,97
38987,2c:33:7a:2b:79:3a,76108.03250304701,948961,97
38988,2c:33:7a:2b:79:3a,76108.033421891,948962,97
38997,2c:33:7a:2b:79:3a,76121.211545121,949137,97
38998,2c:33:7a:2b:79:3a,76121.217119853,949140,97
39000,2c:33:7a:2b:79:3a,76127.398131878,949205,97
39001,2c:33:7a:2b:79:3a,76127.400001592,949206,97
39002,2c:33:7a:2b:79:3a,76127.400965262,949207,97
39003,2c:33:7a:2b:79:3a,76127.401881125,949208,97
39007,2c:33:7a:2b:79:3a,76140.68966943701,949389,97
39008,2c:33:7a:2b:79:3a,76140.690858188,949390,97
39010,2c:33:7a:2b:79:3a,76146.75276541601,949452,97
39011,2c:33:7a:2b:79:3a,76146.753778431,949453,97
39012,2c:33:7a:2b:79:3a,76146.754756966,949454,97
39014,2c:33:7a:2b:79:3a,76152.227899455,949484,97
39015,2c:33:7a:2b:79:3a,76152.228826098,949485,97
39022,2c:33:7a:2b:79:3a,76165.407427535,949663,97
39023,2c:33:7a:2b:79:3a,76166.223195401,949703,97
39024,2c:33:7a:2b:79:3a,76166.22440074402,949704,97
39025,2c:33:7a:2b:79:3a,76166.225400711,949705,97
