,sa,timedifference,sequence no,length
33512,2c:33:7a:2b:79:3a,67209.31284224201,838037,97
33513,2c:33:7a:2b:79:3a,67209.313808089,838038,97
33516,2c:33:7a:2b:79:3a,67215.50246777401,838106,97
33523,2c:33:7a:2b:79:3a,67220.853342183,838129,97
33524,2c:33:7a:2b:79:3a,67220.854558427,838130,97
33525,2c:33:7a:2b:79:3a,67220.855785136,838131,97
33526,2c:33:7a:2b:79:3a,67234.150471185,838313,97
33527,2c:33:7a:2b:79:3a,67253.505064358,838559,97
33528,2c:33:7a:2b:79:3a,67253.50625323401,838560,97
33531,2c:33:7a:2b:79:3a,67260.925223247,838640,97
33532,2c:33:7a:2b:79:3a,67260.926222261,838641,97
33533,2c:33:7a:2b:79:3a,67260.927200011,838642,97
33539,2c:33:7a:2b:79:3a,67267.814841857,838745,97
33540,2c:33:7a:2b:79:3a,67267.93198120201,838750,97
33541,2c:33:7a:2b:79:3a,67267.932991458,838751,97
33542,2c:33:7a:2b:79:3a,67267.93396952,838752,97
33546,2c:33:7a:2b:79:3a,67273.28459877301,838775,97
33547,2c:33:7a:2b:79:3a,67273.286779985,838777,97
33548,2c:33:7a:2b:79:3a,67280.26296178301,838879,97
33549,2c:33:7a:2b:79:3a,67280.26411587601,838880,97
33550,2c:33:7a:2b:79:3a,67280.385941832,838888,97
33562,2c:33:7a:2b:79:3a,67299.75071650701,839133,97
33563,2c:33:7a:2b:79:3a,67305.218601204,839164,97
33564,2c:33:7a:2b:79:3a,67305.219581194,839165,97
33565,2c:33:7a:2b:79:3a,67305.22062678,839166,97
33566,2c:33:7a:2b:79:3a,67312.224050871,839274,97
33567,2c:33:7a:2b:79:3a,67312.225947208,839276,97
33568,2c:33:7a:2b:79:3a,67319.21779084201,839383,97
33569,2c:33:7a:2b:79:3a,67319.218957793,839384,97
33570,2c:33:7a:2b:79:3a,67319.219935568,839385,97
33571,2c:33:7a:2b:79:3a,67319.220976408,839386,97
33572,2c:33:7a:2b:79:3a,67319.3342335,839389,97
33574,2c:33:7a:2b:79:3a,67324.57799619701,839410,97
33575,2c:33:7a:2b:79:3a,67324.578921981,839411,97
33576,2c:33:7a:2b:79:3a,67324.57987135401,839412,97
33581,2c:33:7a:2b:79:3a,67331.461957066,839516,97
33588,2c:33:7a:2b:79:3a,67350.93489519901,839765,97
33589,2c:33:7a:2b:79:3a,67350.93845051201,839768,97
33603,2c:33:7a:2b:79:3a,67369.59136510201,839976,97
33604,2c:33:7a:2b:79:3a,67369.593012653,839977,97
33605,2c:33:7a:2b:79:3a,67370.293492375,840012,97
33606,2c:33:7a:2b:79:3a,67370.294454935,840013,97
33607,2c:33:7a:2b:79:3a,67375.77040063901,840043,97
33608,2c:33:7a:2b:79:3a,67375.773378973,840045,97
33609,2c:33:7a:2b:79:3a,67375.77423374401,840046,97
33610,2c:33:7a:2b:79:3a,67383.59164851,840196,97
33611,2c:33:7a:2b:79:3a,67383.593494614,840198,97
33619,2c:33:7a:2b:79:3a,67389.887131213,840272,97
33622,2c:33:7a:2b:79:3a,67395.12898153001,840289,97
33623,2c:33:7a:2b:79:3a,67395.130261134,840290,97
33624,2c:33:7a:2b:79:3a,67395.13119142801,840291,97
33625,2c:33:7a:2b:79:3a,67395.132185881,840292,97
33626,2c:33:7a:2b:79:3a,67402.545138119,840369,97
33627,2c:33:7a:2b:79:3a,67402.547018631,840370,97
33628,2c:33:7a:2b:79:3a,67402.548976676,840372,97
33629,2c:33:7a:2b:79:3a,67404.593929281,840423,97
33630,2c:33:7a:2b:79:3a,67404.595089383,840424,97
33631,2c:33:7a:2b:79:3a,67404.595978431,840425,97
33632,2c:33:7a:2b:79:3a,67404.59692570701,840426,97
33633,2c:33:7a:2b:79:3a,67409.962456016,840450,97
33637,2c:33:7a:2b:79:3a,67416.381386336,840530,97
33646,2c:33:7a:2b:79:3a,67436.20576720401,840802,97
33647,2c:33:7a:2b:79:3a,67442.61551608401,840879,97
33648,2c:33:7a:2b:79:3a,67442.618601933,840882,97
