,sa,timedifference,sequence no,length
7490,2c:33:7a:2b:79:3a,12603.703749298,157217,97
7491,2c:33:7a:2b:79:3a,12603.704936962,157218,97
7492,2c:33:7a:2b:79:3a,12603.705936817,157219,97
7496,2c:33:7a:2b:79:3a,12609.887717145,157285,97
7497,2c:33:7a:2b:79:3a,12609.888902907,157286,97
7498,2c:33:7a:2b:79:3a,12609.889879958999,157287,97
7499,2c:33:7a:2b:79:3a,12609.890901966,157288,97
7503,2c:33:7a:2b:79:3a,12623.305889885,157478,97
7504,2c:33:7a:2b:79:3a,12628.545990461002,157495,97
7505,2c:33:7a:2b:79:3a,12628.547180218999,157496,97
7506,2c:33:7a:2b:79:3a,12629.252734856002,157531,97
7516,2c:33:7a:2b:79:3a,12642.545764422,157715,97
7517,2c:33:7a:2b:79:3a,12642.546919432,157716,97
7518,2c:33:7a:2b:79:3a,12642.547921346,157717,97
7519,2c:33:7a:2b:79:3a,12642.548939647,157718,97
7520,2c:33:7a:2b:79:3a,12648.72433651,157784,97
7524,2c:33:7a:2b:79:3a,12654.080123872,157809,97
7525,2c:33:7a:2b:79:3a,12654.081319439,157810,97
7526,2c:33:7a:2b:79:3a,12654.082247238,157811,97
7527,2c:33:7a:2b:79:3a,12654.083246248001,157812,97
7528,2c:33:7a:2b:79:3a,12680.325542921,158159,97
7529,2c:33:7a:2b:79:3a,12680.326918316001,158160,97
7536,2c:33:7a:2b:79:3a,12693.743658363,158350,97
7537,2c:33:7a:2b:79:3a,12699.099574371001,158378,97
7538,2c:33:7a:2b:79:3a,12699.681521964,158407,97
7539,2c:33:7a:2b:79:3a,12705.276683693999,158443,97
7540,2c:33:7a:2b:79:3a,12706.103865407,158487,97
7542,2c:33:7a:2b:79:3a,12713.09715619,158597,97
7543,2c:33:7a:2b:79:3a,12713.098117403999,158598,97
7544,2c:33:7a:2b:79:3a,12718.46050677,158623,97
7545,2c:33:7a:2b:79:3a,12718.461483196,158624,97
7546,2c:33:7a:2b:79:3a,12719.282548308001,158665,97
7547,2c:33:7a:2b:79:3a,12719.283517164,158666,97
7548,2c:33:7a:2b:79:3a,12725.457507228,158731,97
7567,2c:33:7a:2b:79:3a,12757.310394365,159122,97
7568,2c:33:7a:2b:79:3a,12757.406302986,159126,97
7569,2c:33:7a:2b:79:3a,12757.40728087,159127,97
7574,2c:33:7a:2b:79:3a,12764.169585990001,159223,97
7575,2c:33:7a:2b:79:3a,12764.170917547,159224,97
7576,2c:33:7a:2b:79:3a,12764.172250223999,159225,97
7577,2c:33:7a:2b:79:3a,12764.282878521999,159227,1548
7578,2c:33:7a:2b:79:3a,12764.285999524,159229,97
7579,2c:33:7a:2b:79:3a,12764.287168196,159230,97
7580,2c:33:7a:2b:79:3a,12764.288122904,159231,97
7581,2c:33:7a:2b:79:3a,12764.289085693,159232,97
7582,2c:33:7a:2b:79:3a,12769.649331966999,159255,97
7585,2c:33:7a:2b:79:3a,12776.648687531002,159365,97
7586,2c:33:7a:2b:79:3a,12776.649875305,159366,97
7587,2c:33:7a:2b:79:3a,12776.65083158,159367,97
7588,2c:33:7a:2b:79:3a,12776.651831852,159368,97
7589,2c:33:7a:2b:79:3a,12776.765605578,159371,97
7594,2c:33:7a:2b:79:3a,12783.652791715,159475,97
7595,2c:33:7a:2b:79:3a,12783.653961258999,159476,97
7596,2c:33:7a:2b:79:3a,12783.654912803,159477,97
7597,2c:33:7a:2b:79:3a,12783.655922283999,159478,97
7599,2c:33:7a:2b:79:3a,12790.062303921999,159556,97
7600,2c:33:7a:2b:79:3a,12795.072753728999,159566,97
7601,2c:33:7a:2b:79:3a,12801.483782209,159643,97
7602,2c:33:7a:2b:79:3a,12801.485002593,159644,97
7603,2c:33:7a:2b:79:3a,12801.485936526002,159645,97
7604,2c:33:7a:2b:79:3a,12801.486878626001,159646,97
7608,2c:33:7a:2b:79:3a,12808.481851486002,159753,97
7612,2c:33:7a:2b:79:3a,12815.482855201,159863,97
7613,2c:33:7a:2b:79:3a,12815.484018615,159864,97
7614,2c:33:7a:2b:79:3a,12815.485036388001,159865,97
7615,2c:33:7a:2b:79:3a,12815.486014769,159866,97
7616,2c:33:7a:2b:79:3a,12820.839058776999,159887,1548
7617,2c:33:7a:2b:79:3a,12820.843967286,159890,97
7618,2c:33:7a:2b:79:3a,12820.846219658,159892,97
7623,2c:33:7a:2b:79:3a,12847.082237674,160239,97
7624,2c:33:7a:2b:79:3a,12847.083441902,160240,97
7625,2c:33:7a:2b:79:3a,12847.199820916001,160245,97
7626,2c:33:7a:2b:79:3a,12847.202975117,160248,97
7631,2c:33:7a:2b:79:3a,12860.502272263,160429,97
7632,2c:33:7a:2b:79:3a,12860.503506558001,160430,97
7633,2c:33:7a:2b:79:3a,12860.504459756,160431,97
7634,2c:33:7a:2b:79:3a,12860.505503611,160432,97
7635,2c:33:7a:2b:79:3a,12865.856543053998,160455,97
7636,2c:33:7a:2b:79:3a,12865.857735263,160456,97
7637,2c:33:7a:2b:79:3a,12866.557902683,160491,97
7638,2c:33:7a:2b:79:3a,12866.560118677,160493,97
7639,2c:33:7a:2b:79:3a,12866.561152881999,160494,97
7648,2c:33:7a:2b:79:3a,12872.037891086002,160523,97
7649,2c:33:7a:2b:79:3a,12872.039097216,160524,97
7650,2c:33:7a:2b:79:3a,12872.040038067,160525,97
7652,2c:33:7a:2b:79:3a,12879.850227137,160673,1548
7653,2c:33:7a:2b:79:3a,12879.854542774,160676,97
7654,2c:33:7a:2b:79:3a,12879.85556418,160677,97
7655,2c:33:7a:2b:79:3a,12879.856520378,160678,97
7657,2c:33:7a:2b:79:3a,12886.036302441002,160743,97
7658,2c:33:7a:2b:79:3a,12886.037471421001,160744,97
7659,2c:33:7a:2b:79:3a,12886.038522436002,160745,97
7660,2c:33:7a:2b:79:3a,12886.039522286,160746,97
7661,2c:33:7a:2b:79:3a,12891.395362053001,160769,97
7662,2c:33:7a:2b:79:3a,12891.396545722,160770,97
7663,2c:33:7a:2b:79:3a,12891.397589495,160771,97
7664,2c:33:7a:2b:79:3a,12891.3987733,160772,97
7673,2c:33:7a:2b:79:3a,12904.695471746001,160956,97
7676,2c:33:7a:2b:79:3a,12924.052931752,161200,97
7677,2c:33:7a:2b:79:3a,12924.0538855,161201,97
7678,2c:33:7a:2b:79:3a,12924.055532185,161202,97
7679,2c:33:7a:2b:79:3a,12924.175605456001,161206,97
7688,2c:33:7a:2b:79:3a,12931.055888618,161310,97
7689,2c:33:7a:2b:79:3a,12931.056834813999,161311,97
7690,2c:33:7a:2b:79:3a,12931.057750614,161312,97
7694,2c:33:7a:2b:79:3a,12936.409784647,161335,97
7695,2c:33:7a:2b:79:3a,12936.411886273001,161337,97
7696,2c:33:7a:2b:79:3a,12936.412820778001,161338,97
7703,2c:33:7a:2b:79:3a,12943.410505358,161445,97
7704,2c:33:7a:2b:79:3a,12943.413586255001,161448,97
7706,2c:33:7a:2b:79:3a,12950.410367165001,161555,97
7707,2c:33:7a:2b:79:3a,12950.411550359,161556,97
7708,2c:33:7a:2b:79:3a,12950.412593627,161557,97
7709,2c:33:7a:2b:79:3a,12950.413571491,161558,97
7713,2c:33:7a:2b:79:3a,12968.364635733999,161731,97
7715,2c:33:7a:2b:79:3a,12975.248695938999,161836,97
7716,2c:33:7a:2b:79:3a,12982.361504067,161951,97
7717,2c:33:7a:2b:79:3a,12987.604235548,161969,97
7718,2c:33:7a:2b:79:3a,12987.60539322,161970,97
7719,2c:33:7a:2b:79:3a,12987.606381795,161971,97
7720,2c:33:7a:2b:79:3a,12987.607315437,161972,97
7727,2c:33:7a:2b:79:3a,12994.605777772,162079,97
