,sa,timedifference,sequence no,length
31739,2c:33:7a:2b:79:3a,63609.305729189,793121,97
31743,2c:33:7a:2b:79:3a,63615.71313065099,793202,97
31744,2c:33:7a:2b:79:3a,63622.70953637,793309,97
31745,2c:33:7a:2b:79:3a,63622.71177974,793311,97
31754,2c:33:7a:2b:79:3a,63635.067782791,793445,97
31755,2c:33:7a:2b:79:3a,63635.068966234,793446,97
31756,2c:33:7a:2b:79:3a,63635.069983937996,793447,97
31757,2c:33:7a:2b:79:3a,63635.071006649,793448,97
31758,2c:33:7a:2b:79:3a,63635.184711775,793451,97
31759,2c:33:7a:2b:79:3a,63635.185882157995,793452,97
31762,2c:33:7a:2b:79:3a,63642.06649945799,793555,97
31763,2c:33:7a:2b:79:3a,63642.067653294005,793556,97
31764,2c:33:7a:2b:79:3a,63648.250625666,793623,97
31765,2c:33:7a:2b:79:3a,63648.254294837,793624,97
31768,2c:33:7a:2b:79:3a,63654.433810159004,793693,97
31774,2c:33:7a:2b:79:3a,63674.028626227,793950,97
31777,2c:33:7a:2b:79:3a,63679.265642308,793969,97
31778,2c:33:7a:2b:79:3a,63679.266848624,793970,97
31779,2c:33:7a:2b:79:3a,63679.267870532,793971,97
31780,2c:33:7a:2b:79:3a,63679.268893245,793972,97
31781,2c:33:7a:2b:79:3a,63686.266179431,794080,97
31786,2c:33:7a:2b:79:3a,63692.44797346299,794148,97
31789,2c:33:7a:2b:79:3a,63693.150072323,794183,97
31790,2c:33:7a:2b:79:3a,63693.151241625994,794184,97
31793,2c:33:7a:2b:79:3a,63705.625085159,794326,97
31794,2c:33:7a:2b:79:3a,63705.62762930799,794328,97
31804,2c:33:7a:2b:79:3a,63730.459542599005,794604,97
31805,2c:33:7a:2b:79:3a,63730.460511287994,794605,97
31806,2c:33:7a:2b:79:3a,63730.461408707,794606,97
31811,2c:33:7a:2b:79:3a,63744.456349616,794824,97
31817,2c:33:7a:2b:79:3a,63770.006981599,795137,97
31818,2c:33:7a:2b:79:3a,63770.008169028,795138,97
31819,2c:33:7a:2b:79:3a,63770.009095944995,795139,97
31820,2c:33:7a:2b:79:3a,63770.010048576,795140,97
31824,2c:33:7a:2b:79:3a,63789.467726282994,795387,1548
31825,2c:33:7a:2b:79:3a,63789.47079924,795389,97
31826,2c:33:7a:2b:79:3a,63789.471980831,795390,97
31827,2c:33:7a:2b:79:3a,63789.472891047,795391,97
31828,2c:33:7a:2b:79:3a,63789.473974397,795392,97
31832,2c:33:7a:2b:79:3a,63794.836206337,795418,97
31836,2c:33:7a:2b:79:3a,63801.013597989004,795483,97
31837,2c:33:7a:2b:79:3a,63801.01477464099,795484,97
31838,2c:33:7a:2b:79:3a,63801.015789070996,795485,97
31839,2c:33:7a:2b:79:3a,63801.833743694995,795525,97
31840,2c:33:7a:2b:79:3a,63801.83536566,795526,97
31841,2c:33:7a:2b:79:3a,63801.950363587996,795531,97
31842,2c:33:7a:2b:79:3a,63808.833757233,795633,1548
31843,2c:33:7a:2b:79:3a,63808.836876192996,795635,97
31844,2c:33:7a:2b:79:3a,63808.83902383,795637,97
31848,2c:33:7a:2b:79:3a,63815.023607304,795706,97
31850,2c:33:7a:2b:79:3a,63826.82077013599,795812,97
31854,2c:33:7a:2b:79:3a,63853.026359727,796159,97
31859,2c:33:7a:2b:79:3a,63859.914935206,796265,97
31860,2c:33:7a:2b:79:3a,63859.915854226,796266,97
31861,2c:33:7a:2b:79:3a,63860.023195534995,796267,1548
31862,2c:33:7a:2b:79:3a,63860.026283644,796269,97
31863,2c:33:7a:2b:79:3a,63866.20914079,796337,97
31864,2c:33:7a:2b:79:3a,63866.210309582995,796338,97
31871,2c:33:7a:2b:79:3a,63879.385435587,796517,97
31872,2c:33:7a:2b:79:3a,63879.386433615,796518,97
31873,2c:33:7a:2b:79:3a,63897.223879419005,796685,97
31878,2c:33:7a:2b:79:3a,63911.216750922,796903,97
31879,2c:33:7a:2b:79:3a,63911.218956757,796905,97
31880,2c:33:7a:2b:79:3a,63911.219860382,796906,97
31889,2c:33:7a:2b:79:3a,63916.57875041,796929,97
31890,2c:33:7a:2b:79:3a,63916.580581575996,796930,97
31891,2c:33:7a:2b:79:3a,63916.582456255994,796932,97
31892,2c:33:7a:2b:79:3a,63923.580914825994,797040,97
31893,2c:33:7a:2b:79:3a,63923.582936968,797041,97
31894,2c:33:7a:2b:79:3a,63923.585854709,797042,97
31900,2c:33:7a:2b:79:3a,63936.76021973,797219,97
31901,2c:33:7a:2b:79:3a,63942.818968182,797279,97
31902,2c:33:7a:2b:79:3a,63942.82015928599,797280,97
31903,2c:33:7a:2b:79:3a,63942.935862102,797285,97
31904,2c:33:7a:2b:79:3a,63942.938219544005,797287,97
31905,2c:33:7a:2b:79:3a,63942.939715037995,797288,97
31912,2c:33:7a:2b:79:3a,63967.777609387,797566,97
31913,2c:33:7a:2b:79:3a,63975.599797528,797716,97
31914,2c:33:7a:2b:79:3a,63981.771117957,797783,97
31915,2c:33:7a:2b:79:3a,63981.774193517,797786,97
31916,2c:33:7a:2b:79:3a,63987.133068474,797810,97
31917,2c:33:7a:2b:79:3a,63987.133974067,797811,97
31927,2c:33:7a:2b:79:3a,64026.785217952995,798349,97
31928,2c:33:7a:2b:79:3a,64026.786401196,798350,97
31929,2c:33:7a:2b:79:3a,64026.78740082,798351,97
31930,2c:33:7a:2b:79:3a,64026.788298483,798352,97
31933,2c:33:7a:2b:79:3a,64038.326455596,798443,97
31934,2c:33:7a:2b:79:3a,64039.147875712995,798485,97
31935,2c:33:7a:2b:79:3a,64039.150577493,798486,97
31939,2c:33:7a:2b:79:3a,64046.15067826799,798597,97
31940,2c:33:7a:2b:79:3a,64051.511883103,798623,97
31944,2c:33:7a:2b:79:3a,64052.32289634099,798661,1548
31945,2c:33:7a:2b:79:3a,64052.328563698,798663,97
31946,2c:33:7a:2b:79:3a,64052.329733201,798664,97
31947,2c:33:7a:2b:79:3a,64052.33076994599,798665,97
