,sa,timedifference,sequence no,length
13539,2c:33:7a:2b:79:3a,23411.405292177995,292031,97
13540,2c:33:7a:2b:79:3a,23411.406228236,292032,97
13541,2c:33:7a:2b:79:3a,23416.758980978997,292055,97
13542,2c:33:7a:2b:79:3a,23416.760151389997,292056,97
13545,2c:33:7a:2b:79:3a,23422.939184249997,292123,97
13546,2c:33:7a:2b:79:3a,23422.940354501,292124,97
13547,2c:33:7a:2b:79:3a,23422.941390244,292125,97
13550,2c:33:7a:2b:79:3a,23436.937413372998,292343,97
13551,2c:33:7a:2b:79:3a,23436.941118947998,292346,97
13552,2c:33:7a:2b:79:3a,23442.300306492998,292370,97
13553,2c:33:7a:2b:79:3a,23443.120551025,292411,97
13554,2c:33:7a:2b:79:3a,23443.121776982,292412,97
13557,2c:33:7a:2b:79:3a,23455.598440076,292555,97
13561,2c:33:7a:2b:79:3a,23474.953566207998,292800,97
13562,2c:33:7a:2b:79:3a,23474.954540079998,292801,97
13563,2c:33:7a:2b:79:3a,23474.955480942,292802,97
13572,2c:33:7a:2b:79:3a,23481.132339461,292867,97
13573,2c:33:7a:2b:79:3a,23481.133524409997,292868,97
13574,2c:33:7a:2b:79:3a,23481.134524175,292869,97
13575,2c:33:7a:2b:79:3a,23481.135443013998,292870,97
13576,2c:33:7a:2b:79:3a,23481.952297996,292909,97
13577,2c:33:7a:2b:79:3a,23481.953488377996,292910,97
13578,2c:33:7a:2b:79:3a,23481.954400013998,292911,97
13579,2c:33:7a:2b:79:3a,23487.314512754998,292936,97
13580,2c:33:7a:2b:79:3a,23488.141237066,292979,97
13584,2c:33:7a:2b:79:3a,23494.321512425,293047,97
13585,2c:33:7a:2b:79:3a,23501.315975212,293155,97
13586,2c:33:7a:2b:79:3a,23501.317137812995,293156,97
13587,2c:33:7a:2b:79:3a,23501.318137677998,293157,97
13588,2c:33:7a:2b:79:3a,23512.735829502995,293244,97
13589,2c:33:7a:2b:79:3a,23512.737829437,293246,97
13590,2c:33:7a:2b:79:3a,23513.68002624,293291,97
13591,2c:33:7a:2b:79:3a,23513.683731917,293292,97
13592,2c:33:7a:2b:79:3a,23513.684738367996,293293,97
13593,2c:33:7a:2b:79:3a,23519.149778633997,293324,97
13594,2c:33:7a:2b:79:3a,23519.150681529998,293325,97
13595,2c:33:7a:2b:79:3a,23519.151593439998,293326,97
13596,2c:33:7a:2b:79:3a,23519.264728634997,293329,97
13599,2c:33:7a:2b:79:3a,23526.150109407998,293434,97
13600,2c:33:7a:2b:79:3a,23538.506731017,293569,97
13601,2c:33:7a:2b:79:3a,23538.507911473997,293570,97
13602,2c:33:7a:2b:79:3a,23538.509877277997,293572,97
13606,2c:33:7a:2b:79:3a,23545.50739538,293680,97
13607,2c:33:7a:2b:79:3a,23545.508457358996,293681,97
13615,2c:33:7a:2b:79:3a,23558.689899462996,293857,97
13616,2c:33:7a:2b:79:3a,23558.691090447,293858,97
13617,2c:33:7a:2b:79:3a,23558.69207726,293859,97
13618,2c:33:7a:2b:79:3a,23558.695774692995,293860,97
