,sa,timedifference,sequence no,length
24169,2c:33:7a:2b:79:3a,47414.28576558099,591200,97
24170,2c:33:7a:2b:79:3a,47414.286647569,591201,97
24175,2c:33:7a:2b:79:3a,47420.46534088,591270,97
24179,2c:33:7a:2b:79:3a,47421.27193922,591309,97
24180,2c:33:7a:2b:79:3a,47421.273077492,591310,97
24181,2c:33:7a:2b:79:3a,47421.27405910799,591311,97
24182,2c:33:7a:2b:79:3a,47421.275068956,591312,97
24188,2c:33:7a:2b:79:3a,47433.634999019996,591445,97
24189,2c:33:7a:2b:79:3a,47433.636161038,591446,97
24190,2c:33:7a:2b:79:3a,47440.634675445,591555,97
24191,2c:33:7a:2b:79:3a,47440.637870485,591558,97
24192,2c:33:7a:2b:79:3a,47446.81996597,591623,97
24193,2c:33:7a:2b:79:3a,47446.823459725,591626,97
24194,2c:33:7a:2b:79:3a,47453.003299954995,591691,97
24195,2c:33:7a:2b:79:3a,47453.005419394,591693,97
24196,2c:33:7a:2b:79:3a,47453.006562036,591694,97
24205,2c:33:7a:2b:79:3a,47491.825968192,592189,97
24206,2c:33:7a:2b:79:3a,47511.189227782,592436,97
24207,2c:33:7a:2b:79:3a,47511.191228234005,592438,97
24211,2c:33:7a:2b:79:3a,47529.024814173,592604,97
24215,2c:33:7a:2b:79:3a,47543.022143819006,592824,97
24216,2c:33:7a:2b:79:3a,47543.025772662004,592826,97
24217,2c:33:7a:2b:79:3a,47548.38148346,592849,97
24218,2c:33:7a:2b:79:3a,47548.384525858,592850,97
24219,2c:33:7a:2b:79:3a,47548.386422927004,592852,97
24223,2c:33:7a:2b:79:3a,47555.386310618,592959,97
24224,2c:33:7a:2b:79:3a,47555.387773425995,592960,97
24225,2c:33:7a:2b:79:3a,47555.38872932099,592961,97
24230,2c:33:7a:2b:79:3a,47587.21964721,593348,97
24231,2c:33:7a:2b:79:3a,47587.230727629,593349,97
24232,2c:33:7a:2b:79:3a,47588.038740537,593389,97
24233,2c:33:7a:2b:79:3a,47588.039949469,593390,97
24234,2c:33:7a:2b:79:3a,47588.040922534004,593391,97
24235,2c:33:7a:2b:79:3a,47588.041900092,593392,97
24237,2c:33:7a:2b:79:3a,47593.981258142994,593445,97
24242,2c:33:7a:2b:79:3a,47599.577287844004,593484,97
24243,2c:33:7a:2b:79:3a,47599.578300314,593485,97
24244,2c:33:7a:2b:79:3a,47599.579234679004,593486,97
24245,2c:33:7a:2b:79:3a,47607.396955107,593635,97
24246,2c:33:7a:2b:79:3a,47607.399062367,593637,97
24247,2c:33:7a:2b:79:3a,47607.402521924996,593638,97
24258,2c:33:7a:2b:79:3a,47613.579527399,593706,97
24259,2c:33:7a:2b:79:3a,47618.941180714006,593729,97
24260,2c:33:7a:2b:79:3a,47618.944354101,593730,97
24261,2c:33:7a:2b:79:3a,47618.945347044006,593731,97
24262,2c:33:7a:2b:79:3a,47618.946313732,593732,97
24268,2c:33:7a:2b:79:3a,47659.019490212995,594241,97
24269,2c:33:7a:2b:79:3a,47659.138961522,594247,97
24270,2c:33:7a:2b:79:3a,47665.194654884,594308,97
24271,2c:33:7a:2b:79:3a,47665.196546650994,594310,97
24280,2c:33:7a:2b:79:3a,47677.549038954996,594443,97
24281,2c:33:7a:2b:79:3a,47678.372068357996,594487,97
24282,2c:33:7a:2b:79:3a,47685.38141737,594596,97
24283,2c:33:7a:2b:79:3a,47685.383453040995,594598,97
24288,2c:33:7a:2b:79:3a,47722.561664450994,595011,97
24289,2c:33:7a:2b:79:3a,47722.562624977996,595012,97
24299,2c:33:7a:2b:79:3a,47735.745102256,595187,97
24301,2c:33:7a:2b:79:3a,47748.923588817,595368,97
24304,2c:33:7a:2b:79:3a,47773.754559217996,595643,97
24305,2c:33:7a:2b:79:3a,47773.873777308,595650,97
24316,2c:33:7a:2b:79:3a,47793.11423594099,595889,97
24317,2c:33:7a:2b:79:3a,47793.118285663,595891,97
24318,2c:33:7a:2b:79:3a,47793.119488455995,595892,97
24321,2c:33:7a:2b:79:3a,47800.11518939099,596000,97
24327,2c:33:7a:2b:79:3a,47832.782622089995,596429,97
24328,2c:33:7a:2b:79:3a,47832.784783434996,596431,97
24333,2c:33:7a:2b:79:3a,47844.307481122,596523,97
24334,2c:33:7a:2b:79:3a,47844.308723475,596524,97
24338,2c:33:7a:2b:79:3a,47852.12770684099,596675,97
24339,2c:33:7a:2b:79:3a,47852.128845757,596676,97
24340,2c:33:7a:2b:79:3a,47852.129839477,596677,97
24342,2c:33:7a:2b:79:3a,47863.667022302,596770,97
24343,2c:33:7a:2b:79:3a,47863.668060597,596771,97
24358,2c:33:7a:2b:79:3a,47922.680528337,597555,97
24359,2c:33:7a:2b:79:3a,47922.681717982,597556,97
24360,2c:33:7a:2b:79:3a,47922.682739626,597557,97
24361,2c:33:7a:2b:79:3a,47922.68368161099,597558,97
24371,2c:33:7a:2b:79:3a,47966.899148102,598079,97
24372,2c:33:7a:2b:79:3a,47966.900316823,598080,97
24373,2c:33:7a:2b:79:3a,47966.901331194,598081,97
24374,2c:33:7a:2b:79:3a,47966.90229360599,598082,97
24380,2c:33:7a:2b:79:3a,47973.881224399,598189,97
24381,2c:33:7a:2b:79:3a,47973.883372113,598191,97
24382,2c:33:7a:2b:79:3a,47993.236253974996,598435,97
24383,2c:33:7a:2b:79:3a,47993.238402797004,598437,97
24384,2c:33:7a:2b:79:3a,47993.239356996,598438,97
