,sa,timedifference,sequence no,length
7176,2c:33:7a:2b:79:3a,12007.334385635,149786,97
7179,2c:33:7a:2b:79:3a,12012.574794188999,149803,97
7180,2c:33:7a:2b:79:3a,12012.693634107,149809,97
7181,2c:33:7a:2b:79:3a,12012.694788941,149810,97
7182,2c:33:7a:2b:79:3a,12012.696845497,149812,97
7192,2c:33:7a:2b:79:3a,12038.930108882,150160,97
7193,2c:33:7a:2b:79:3a,12038.931031536002,150161,97
7196,2c:33:7a:2b:79:3a,12045.342294911,150239,97
7197,2c:33:7a:2b:79:3a,12045.343463697,150240,97
7198,2c:33:7a:2b:79:3a,12045.344486178,150241,97
7199,2c:33:7a:2b:79:3a,12045.345485751,150242,97
7200,2c:33:7a:2b:79:3a,12051.521829856001,150307,97
7201,2c:33:7a:2b:79:3a,12052.345070396,150352,97
7203,2c:33:7a:2b:79:3a,12057.702055007,150375,97
7206,2c:33:7a:2b:79:3a,12064.703509372,150487,97
7210,2c:33:7a:2b:79:3a,12071.708342955,150596,97
7211,2c:33:7a:2b:79:3a,12071.709379437,150597,97
7212,2c:33:7a:2b:79:3a,12077.063217725,150621,97
7217,2c:33:7a:2b:79:3a,12077.884211468001,150663,97
7218,2c:33:7a:2b:79:3a,12077.885347946001,150664,97
7219,2c:33:7a:2b:79:3a,12077.886272321,150665,97
7220,2c:33:7a:2b:79:3a,12077.887190738,150666,97
7221,2c:33:7a:2b:79:3a,12083.124495285,150683,97
7222,2c:33:7a:2b:79:3a,12084.059414158,150731,97
7223,2c:33:7a:2b:79:3a,12084.065471385,150734,97
7224,2c:33:7a:2b:79:3a,12089.666535692,150772,97
7231,2c:33:7a:2b:79:3a,12108.898689877,151011,97
7232,2c:33:7a:2b:79:3a,12108.899686451,151012,97
7233,2c:33:7a:2b:79:3a,12115.896832473001,151119,97
7234,2c:33:7a:2b:79:3a,12115.898007803999,151120,97
7235,2c:33:7a:2b:79:3a,12115.898953208001,151121,97
7236,2c:33:7a:2b:79:3a,12116.017144203,151125,97
7237,2c:33:7a:2b:79:3a,12116.019237576002,151127,97
7238,2c:33:7a:2b:79:3a,12116.020146981002,151128,97
7243,2c:33:7a:2b:79:3a,12122.903793644,151231,97
7244,2c:33:7a:2b:79:3a,12122.90474532,151232,97
7245,2c:33:7a:2b:79:3a,12129.077715291001,151299,97
7246,2c:33:7a:2b:79:3a,12129.078602358,151300,97
7248,2c:33:7a:2b:79:3a,12135.257412277,151366,97
7249,2c:33:7a:2b:79:3a,12135.258434203,151367,97
7250,2c:33:7a:2b:79:3a,12135.259353663001,151368,97
7254,2c:33:7a:2b:79:3a,12142.253558323999,151475,97
7256,2c:33:7a:2b:79:3a,12148.680511553,151555,97
7258,2c:33:7a:2b:79:3a,12154.61275351,151611,97
7260,2c:33:7a:2b:79:3a,12160.091163883,151643,97
7263,2c:33:7a:2b:79:3a,12174.09912627,151866,97
7264,2c:33:7a:2b:79:3a,12174.215126801999,151871,97
7268,2c:33:7a:2b:79:3a,12179.446586693,151887,1548
7269,2c:33:7a:2b:79:3a,12179.452525761999,151891,97
7270,2c:33:7a:2b:79:3a,12179.453501417,151892,97
7274,2c:33:7a:2b:79:3a,12193.337840174,152105,97
7275,2c:33:7a:2b:79:3a,12193.339135506001,152106,97
7276,2c:33:7a:2b:79:3a,12205.695074407,152240,97
7277,2c:33:7a:2b:79:3a,12205.810848039,152245,97
7278,2c:33:7a:2b:79:3a,12205.812050058,152246,97
7279,2c:33:7a:2b:79:3a,12205.813106938998,152247,97
7280,2c:33:7a:2b:79:3a,12205.814107612,152248,97
7284,2c:33:7a:2b:79:3a,12219.117714257,152432,97
7286,2c:33:7a:2b:79:3a,12224.464514198,152455,97
7287,2c:33:7a:2b:79:3a,12225.165657201002,152491,97
7288,2c:33:7a:2b:79:3a,12225.166840634,152492,97
7289,2c:33:7a:2b:79:3a,12225.167796613001,152493,97
7290,2c:33:7a:2b:79:3a,12225.168738273998,152494,97
7291,2c:33:7a:2b:79:3a,12230.646298817,152523,97
7292,2c:33:7a:2b:79:3a,12230.6476739,152524,97
7293,2c:33:7a:2b:79:3a,12230.648673535,152525,97
7294,2c:33:7a:2b:79:3a,12230.649629446001,152526,97
7297,2c:33:7a:2b:79:3a,12238.478038265,152675,97
7298,2c:33:7a:2b:79:3a,12238.479216001999,152676,97
7299,2c:33:7a:2b:79:3a,12238.480161988999,152677,97
7300,2c:33:7a:2b:79:3a,12238.481201277,152678,97
7301,2c:33:7a:2b:79:3a,12244.6428421,152743,97
7302,2c:33:7a:2b:79:3a,12244.644096386999,152744,97
7303,2c:33:7a:2b:79:3a,12250.002907236001,152769,97
7304,2c:33:7a:2b:79:3a,12270.182021543,153057,97
