,sa,timedifference,sequence no,length
40221,04:cf:8c:89:18:47,78003.88669037801,1317519,97
40222,04:cf:8c:89:18:47,78003.88751977,1317520,97
40229,04:cf:8c:89:18:47,78015.574391924,1318126,97
40230,04:cf:8c:89:18:47,78015.576345174,1318128,97
40256,04:cf:8c:89:18:47,78056.535860922,1320245,97
40287,04:cf:8c:89:18:47,78154.47860747701,1321204,97
40314,04:cf:8c:89:18:47,78196.623076615,1323385,97
40386,04:cf:8c:89:18:47,78344.933851807,1326967,97
40387,04:cf:8c:89:18:47,78344.934684819,1326968,97
40435,04:cf:8c:89:18:47,78453.13461549701,1328476,97
40444,04:cf:8c:89:18:47,78474.75327870401,1329590,97
40445,04:cf:8c:89:18:47,78474.754402617,1329591,97
40446,04:cf:8c:89:18:47,78474.755240671,1329592,97
40447,04:cf:8c:89:18:47,78474.756072906,1329593,97
40454,04:cf:8c:89:18:47,78486.47408313301,1330200,97
40467,04:cf:8c:89:18:47,78508.815327513,1331354,97
40471,04:cf:8c:89:18:47,78520.69492536302,1331962,97
40472,04:cf:8c:89:18:47,78520.69605333601,1331963,97
40484,04:cf:8c:89:18:47,78539.25627664401,1332925,97
40507,04:cf:8c:89:18:47,78586.35978809801,1335358,97
40508,04:cf:8c:89:18:47,78586.361743185,1335360,97
40512,04:cf:8c:89:18:47,78594.997522715,1335805,97
