,sa,timedifference,sequence no,length
25165,a8:2b:b9:b9:de:42,49891.708131408996,29785,197
25166,a8:2b:b9:b9:de:42,49891.70859883,29786,197
25167,a8:2b:b9:b9:de:42,49891.709099126,29787,197
25168,a8:2b:b9:b9:de:42,49891.709642755995,29788,197
25169,a8:2b:b9:b9:de:42,49891.710126198996,29789,200
25170,a8:2b:b9:b9:de:42,49891.72901407201,29790,197
25171,a8:2b:b9:b9:de:42,49891.729490082005,29791,197
25172,a8:2b:b9:b9:de:42,49891.729968556,29792,197
25173,a8:2b:b9:b9:de:42,49891.730503939,29793,197
25174,a8:2b:b9:b9:de:42,49891.73093817,29794,200
25175,a8:2b:b9:b9:de:42,49892.038237495995,29847,197
25176,a8:2b:b9:b9:de:42,49892.038714971,29848,197
25177,a8:2b:b9:b9:de:42,49892.039193476,29849,197
25178,a8:2b:b9:b9:de:42,49892.04048802701,29850,197
25179,a8:2b:b9:b9:de:42,49892.040965219,29851,200
25180,a8:2b:b9:b9:de:42,49892.064025553,29854,197
25262,a8:2b:b9:b9:de:42,50079.539456928,29969,197
25263,a8:2b:b9:b9:de:42,50079.559994666,29970,197
25398,a8:2b:b9:b9:de:42,50386.008070105,30438,197
25399,a8:2b:b9:b9:de:42,50386.03021356,30439,197
25402,a8:2b:b9:b9:de:42,50386.385696672005,30458,197
25403,a8:2b:b9:b9:de:42,50386.405937188,30459,197
25405,a8:2b:b9:b9:de:42,50386.707165475,30476,197
25406,a8:2b:b9:b9:de:42,50386.72751101,30477,197
