,sa,timedifference,sequence no,length
3,ac:36:13:5b:00:45,0.0,0,159
4,ac:36:13:5b:00:45,0.04020304099999805,1,159
58,ac:36:13:5b:00:45,14.211451695,93,157
59,ac:36:13:5b:00:45,14.231711869,94,157
60,ac:36:13:5b:00:45,14.480804548999997,106,157
61,ac:36:13:5b:00:45,14.616475217,112,157
62,ac:36:13:5b:00:45,14.637021589999998,113,157
90,ac:36:13:5b:00:45,30.069437679999993,159,157
91,ac:36:13:5b:00:45,30.089514898999994,160,157
92,ac:36:13:5b:00:45,30.432438909,175,157
93,ac:36:13:5b:00:45,30.453512936000003,176,157
127,ac:36:13:5b:00:45,308.95122482799997,4059,159
128,ac:36:13:5b:00:45,309.037205333,4063,159
131,ac:36:13:5b:00:45,309.20787672399996,4071,159
139,ac:36:13:5b:00:45,323.052444424,4098,159
140,ac:36:13:5b:00:45,323.092123791,4099,159
141,ac:36:13:5b:00:45,323.55067164,4110,159
142,ac:36:13:5b:00:45,323.59151781099996,4111,159
172,ac:36:13:5b:00:45,328.15131746099996,4154,157
173,ac:36:13:5b:00:45,328.266724995,4159,157
174,ac:36:13:5b:00:45,328.498445619,4169,157
175,ac:36:13:5b:00:45,328.637196168,4175,157
205,ac:36:13:5b:00:45,591.868403576,8201,159
206,ac:36:13:5b:00:45,592.325444279,8212,159
207,ac:36:13:5b:00:45,592.365663348,8213,159
214,ac:36:13:5b:00:45,596.845685025,8255,157
215,ac:36:13:5b:00:45,597.344634533,8278,157
