,sa,timedifference,sequence no,length
10980,ac:fd:ce:b0:da:79,18026.239101691,4944,94
10981,ac:fd:ce:b0:da:79,18026.24000534,4945,94
10982,ac:fd:ce:b0:da:79,18026.39508789,4954,94
10983,ac:fd:ce:b0:da:79,18026.396009522003,4955,94
10984,ac:fd:ce:b0:da:79,18026.424311989,4957,94
11014,ac:fd:ce:b0:da:79,18094.179853577003,4980,94
11015,ac:fd:ce:b0:da:79,18094.180721274002,4981,94
11016,ac:fd:ce:b0:da:79,18094.202398373,4982,94
11017,ac:fd:ce:b0:da:79,18094.203250921,4983,94
11166,ac:fd:ce:b0:da:79,18297.989273414,5100,94
11167,ac:fd:ce:b0:da:79,18297.993690927,5101,94
11210,ac:fd:ce:b0:da:79,18365.746499419998,5125,94
11211,ac:fd:ce:b0:da:79,18365.772792231,5126,94
11212,ac:fd:ce:b0:da:79,18365.773656512003,5127,94
11213,ac:fd:ce:b0:da:79,18365.938331606,5138,94
11214,ac:fd:ce:b0:da:79,18365.941258201,5139,94
