delta seq no,length,label
1.3101648,128,2
1.3447422,128,2
2.6507015,128,2
1.4769597,128,2
1.4788677,128,2
1.2372758,128,2
1.3483794,128,2
1.5704333,128,2
1.4676559,128,2
1.4494756,128,2
1.5133604,128,2
1.2430104,128,2
1.3960572,128,2
1.3731158,128,2
1.2473065,128,2
1.3128678,128,2
1.2264645,128,2
