,sa,timedifference,sequence no,length
16698,1c:f2:9a:69:bf:0b,30212.943118815,39109,128
16699,1c:f2:9a:69:bf:0b,30212.961678778,39114,128
16729,1c:f2:9a:69:bf:0b,30284.897792209,39210,128
16730,1c:f2:9a:69:bf:0b,30284.918013055,39211,128
16731,1c:f2:9a:69:bf:0b,30285.213376834,39228,128
16732,1c:f2:9a:69:bf:0b,30285.227354734,39229,128
16733,1c:f2:9a:69:bf:0b,30285.300187245,39232,128
16734,1c:f2:9a:69:bf:0b,30285.319561065997,39236,128
16824,1c:f2:9a:69:bf:0b,30501.477572432,39552,128
16825,1c:f2:9a:69:bf:0b,30501.877022692,39579,128
16826,1c:f2:9a:69:bf:0b,30501.897452363,39580,128
16862,1c:f2:9a:69:bf:0b,30573.741261804,39670,128
16863,1c:f2:9a:69:bf:0b,30573.791725429,39673,128
16864,1c:f2:9a:69:bf:0b,30573.801433683,39674,128
