,sa,timedifference,sequence no,length
646,94:d7:71:fc:67:c9,4881.855612395,11124,166
647,94:d7:71:fc:67:c9,4881.903044903,11125,166
654,94:d7:71:fc:67:c9,4884.928865123,11158,166
657,94:d7:71:fc:67:c9,4887.771995072,11193,166
658,94:d7:71:fc:67:c9,4887.799459348,11194,166
700,94:d7:71:fc:67:c9,4918.580344849,11309,166
701,94:d7:71:fc:67:c9,4918.6077059770005,11310,166
702,94:d7:71:fc:67:c9,4919.213521978,11335,166
703,94:d7:71:fc:67:c9,4919.240054401,11336,166
704,94:d7:71:fc:67:c9,4924.478203607,11401,166
705,94:d7:71:fc:67:c9,4924.505554782,11402,166
706,94:d7:71:fc:67:c9,4924.953424743,11419,166
707,94:d7:71:fc:67:c9,4930.7616374379995,11501,166
726,94:d7:71:fc:67:c9,5193.352003297,11930,166
727,94:d7:71:fc:67:c9,5193.399459051,11931,166
731,94:d7:71:fc:67:c9,5196.41661577,11964,166
735,94:d7:71:fc:67:c9,5199.212584272,12000,166
736,94:d7:71:fc:67:c9,5199.239993887,12001,166
764,94:d7:71:fc:67:c9,5235.964083775,12135,166
765,94:d7:71:fc:67:c9,5236.412871247,12152,166
766,94:d7:71:fc:67:c9,5236.440253348999,12153,166
776,94:d7:71:fc:67:c9,5242.247474523,12243,166
777,94:d7:71:fc:67:c9,5242.274683238999,12244,166
