,sa,timedifference,sequence no,length
10660,60:36:dd:5e:d0:9e,17458.431317497,7787,94
10705,60:36:dd:5e:d0:9e,17523.265493553,7825,94
10706,60:36:dd:5e:d0:9e,17523.266504953,7826,94
10742,60:36:dd:5e:d0:9e,17587.827761387,7858,94
10770,60:36:dd:5e:d0:9e,17652.339323255,7887,94
10797,60:36:dd:5e:d0:9e,17716.982267409,7907,94
10798,60:36:dd:5e:d0:9e,17716.987760297,7909,94
10799,60:36:dd:5e:d0:9e,17717.348980270002,7933,94
10800,60:36:dd:5e:d0:9e,17717.360314267,7934,94
10837,60:36:dd:5e:d0:9e,17781.827156152,7958,94
10838,60:36:dd:5e:d0:9e,17781.828085745,7959,94
10922,60:36:dd:5e:d0:9e,17910.702570917,8002,94
10923,60:36:dd:5e:d0:9e,17910.703525818,8003,94
10954,60:36:dd:5e:d0:9e,17975.434483295,8035,94
10955,60:36:dd:5e:d0:9e,17975.435360872,8036,94
