e6:03:ed:83:d6:e1,3989.07382105,197501,NaN,94
e6:03:ed:83:d6:e1,3989.1220764940003,197503,NaN,94
e6:03:ed:83:d6:e1,3989.17034565,197505,NaN,94
e6:03:ed:83:d6:e1,4052.133220573,201610,NaN,94
e6:03:ed:83:d6:e1,4052.1816278059996,201612,NaN,94
e6:03:ed:83:d6:e1,4052.2306286370003,201614,NaN,94
e6:03:ed:83:d6:e1,4052.254434027,201615,NaN,94
e6:03:ed:83:d6:e1,4115.057640793,205714,NaN,94
e6:03:ed:83:d6:e1,4115.154947469,205718,NaN,94
e6:03:ed:83:d6:e1,4178.122111674,213921,NaN,94
e6:03:ed:83:d6:e1,4178.194851361,213924,NaN,94
e6:03:ed:83:d6:e1,4178.243021433,213926,NaN,94
